Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114,HYEB_rep111,HYEB_rep112,HYEB_rep113,HYEB_rep114
A0A024R1R8;Q9Y2S6,TMA7B_HUMAN;TMA7_HUMAN,TMA7;TMA7B,Translation machinery-associated protein 7B,1,0,439060,474540,377494,325221,425451,453086,396429,451636
A0A075B6W5,TVA23_HUMAN,TRAV23DV6,T cell receptor alpha variable 23/delta variable 6,1,1,,183603,,,104710,,,
A0A0B4J2F0,PIOS1_HUMAN,PIGBOS1,Protein PIGBOS1,1,1,88513.6,85505.4,90085,96767.4,79191,97949.5,81803.2,73166.4
A0A3B3IU46;Q9BTL3,RAMAC_HUMAN;RMACL_HUMAN,RAMAC;RAMACL,RNA guanine-N7 methyltransferase-activating subunit-like protein,1,0,25909.1,31534,32982.8,27467.8,36103.6,19727.5,33281.9,
A0A8I5KQE6;P08865,RPSA2_HUMAN;RSSA_HUMAN,RPSA;RPSA2,Small ribosomal subunit protein uS2B,5,0,2.81E+06,2.88E+06,2.69E+06,3.09E+06,2.71E+06,3.16E+06,2.79E+06,3.11E+06
A0AV96,RBM47_HUMAN,RBM47,RNA-binding protein 47,3,3,3460.77,5969.91,5028.29,3035.02,6073.58,5216.25,4864.48,5176.17
A0AVT1,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,14,14,80764.7,95739,94558.1,93944.2,94130,88858.3,82048.9,101928
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,5,5,101723,97650.7,88844,91655.2,98315.2,88354.3,99775,82975
A0MZ66,SHOT1_HUMAN,SHTN1,Shootin-1,12,12,43280.6,49412.8,59206.7,45618.9,46586.8,58857,44767.2,58335.7
A0PJW6,TM223_HUMAN,TMEM223,Transmembrane protein 223,2,2,,,,,,,,
A1A4S6,RHG10_HUMAN,ARHGAP10,Rho GTPase-activating protein 10,1,1,,,,,,,,601.421
A1L0T0,HACL2_HUMAN,ILVBL,2-hydroxyacyl-CoA lyase 2,3,3,25776.9,38664,14957.3,27425.2,32618.8,34656.3,35201.3,36223.7
A1X283,SPD2B_HUMAN,SH3PXD2B,SH3 and PX domain-containing protein 2B,1,1,,,,,,,,
A2RRP1,NBAS_HUMAN,NBAS,NBAS subunit of NRZ tethering complex,6,6,,3107.96,2557.86,,2659.46,,5846.46,3657.9
A2RUC4,TYW5_HUMAN,TYW5,tRNA wybutosine-synthesizing protein 5,1,1,,,,,,,,
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,11,11,33714.9,47181.1,48713.8,48421.3,34215.3,51893.4,46928.1,46452.7
A3KN83,SBNO1_HUMAN,SBNO1,Protein strawberry notch homolog 1,3,2,3647.36,,2021.58,1609.3,2487.65,3873.9,,3325.09
A4D1E9,GTPBA_HUMAN,GTPBP10,GTP-binding protein 10,5,5,,34736.5,28558.7,28262.2,51487.5,37734.4,,36842.4
A4D1P6,WDR91_HUMAN,WDR91,WD repeat-containing protein 91,2,2,,,2843.87,,,1333.83,,
A4FU01,MTMRB_HUMAN,MTMR11,Myotubularin-related protein 11,1,1,106590,,,,125406,,,
A5YKK6,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,22,22,92501.6,112506,107950,96877.3,96053.6,112417,93684.6,109340
A6NCE7;Q9GZQ8,MLP3B_HUMAN;MP3B2_HUMAN,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,1,0,,,,,,,,
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,5,5,72979,107642,74638.7,77247.1,70791,82167.8,83389.9,85994.6
A6NDU8,RIMC1_HUMAN,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,2,2,5661.41,,7084.95,6179.78,4196.98,12812.1,6552.78,6500.47
A6NED2,RCCD1_HUMAN,RCCD1,RCC1 domain-containing protein 1,2,2,12454.7,9510.4,7160.69,9638.2,11465.4,11779.8,9377.33,
A6NHG4;P30046,DDTL_HUMAN;DOPD_HUMAN,DDT;DDTL,D-dopachrome decarboxylase-like protein,1,0,170136,297668,252588,,261061,301129,298626,325123
A6NHR9,SMHD1_HUMAN,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,18,18,43996,53376.7,55411.1,48448.1,54042.8,68455.6,52784.4,69347.8
A6NIH7,U119B_HUMAN,UNC119B,Protein unc-119 homolog B,3,3,13339.3,9526.17,13357.2,10136.3,11076,7807.08,8740.46,10942
A6NKB5,PCX2_HUMAN,PCNX2,Pecanex-like protein 2,1,1,160221,61785.7,169575,118807,77120.7,54463,,
A6NKF1,SAC31_HUMAN,SAC3D1,SAC3 domain-containing protein 1,2,2,14311.7,18254,,24460.2,20550.5,,21016.2,21794.9
A8MWD9;P62308,RUXGL_HUMAN;RUXG_HUMAN,SNRPG;SNRPGP15,Putative small nuclear ribonucleoprotein G-like protein 15,1,0,,,,,,,,
A8MXV4,NUD19_HUMAN,NUDT19,Acyl-coenzyme A diphosphatase NUDT19,2,2,26652.3,,19665.5,14714.5,12934.3,23554.7,15175.9,
A9QM74,IMA8_HUMAN,KPNA7,Importin subunit alpha-8,1,1,,16196.3,9823.46,,,,,
A9UHW6,MI4GD_HUMAN,MIF4GD,MIF4G domain-containing protein,1,1,,,,,,,,
B0I1T2,MYO1G_HUMAN,MYO1G,Unconventional myosin-Ig,8,7,129944,170828,151057,156014,145192,170159,149477,176461
B5ME19;Q99613,EIF3C_HUMAN;EIFCL_HUMAN,EIF3C;EIF3CL,Eukaryotic translation initiation factor 3 subunit C-like protein,13,0,303525,359994,316246,357334,320730,375151,308901,381258
B7ZAQ6;P0CG08,GPHRA_HUMAN;GPHRB_HUMAN,GPR89A;GPR89B,Golgi pH regulator A,3,0,15709.2,,20178.4,13719.6,16346.7,13474,14488.9,8519.96
B7ZW38;O60812;P0DMR1,HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN,HNRNPCL1;HNRNPCL3;HNRNPCL4,Heterogeneous nuclear ribonucleoprotein C-like 3,1,0,134188,160492,110822,154016,72452.7,107932,103812,100254
C9J7I0,UMAD1_HUMAN,UMAD1,UBAP1-MVB12-associated (UMA)-domain containing protein 1,1,1,,,906.475,,580.769,,,
E9PAV3;Q13765,NACAM_HUMAN;NACA_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",3,2,978242,1.11E+06,1.02E+06,1.10E+06,1.01E+06,1.23E+06,1.11E+06,1.13E+06
E9PRG8,CK098_HUMAN,C11orf98,Uncharacterized protein C11orf98,1,1,187609,229353,198048,207519,215047,232912,191609,212033
L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,1,1,51722.3,86092.1,62775.5,66067.9,53251.4,62246.5,56984.9,68859.4
L0R819,ASURF_HUMAN,ASDURF,ASNSD1 upstream open reading frame protein,2,2,35635,27321.3,37446.6,31350.7,23175.9,33533,31235.7,21544.6
O00115,DNS2A_HUMAN,DNASE2,Deoxyribonuclease-2-alpha,2,2,168219,198969,139176,203144,147724,154957,174684,190692
O00116,ADAS_HUMAN,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",9,9,151110,177181,133043,156740,153973,163113,142576,183611
O00139,KIF2A_HUMAN,KIF2A,Kinesin-like protein KIF2A,8,7,52384.5,79360.2,74809.4,66827.8,83006,85256.3,66321.7,75822.9
O00141,SGK1_HUMAN,SGK1,Serine/threonine-protein kinase Sgk1,1,1,,,,,,,,
O00142,KITM_HUMAN,TK2,"Thymidine kinase 2, mitochondrial",2,2,5910.24,7011.58,12084.1,,8305.45,10887.2,5803.44,11932.9
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,4,4,,182694,174181,241073,154448,179346,,201064
O00154,BACH_HUMAN,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,5,5,224107,276733,218030,252048,258942,316756,226565,278254
O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,8,8,103837,134518,105249,115765,105226,139255,112297,118209
O00161,SNP23_HUMAN,SNAP23,Synaptosomal-associated protein 23,4,4,76029.8,75670.5,76822,86113,61610.6,94069.1,66713,75144.2
O00165,HAX1_HUMAN,HAX1,HCLS1-associated protein X-1,1,1,67961.8,64077.1,61867.8,69411.2,44426.8,41132.2,72853.4,109114
O00170,AIP_HUMAN,AIP,AH receptor-interacting protein,3,3,216810,243675,216331,213914,235953,267452,190971,292534
O00178,GTPB1_HUMAN,GTPBP1,GTP-binding protein 1,5,5,32102.6,29950.9,24901.8,41510.7,33683.7,46519.7,30604.5,40784.7
O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,7,7,37645.9,48534.9,40962.9,57862.2,37457.1,49587.4,47150.3,49408.1
O00194,RB27B_HUMAN,RAB27B,Ras-related protein Rab-27B,2,2,,13677.4,6002.81,17466.3,14261.1,17906.5,14415.9,
O00203,AP3B1_HUMAN,AP3B1,AP-3 complex subunit beta-1,8,7,65318.6,86638.6,54212.2,72037.4,72545.3,84881.1,72196.1,74257.8
O00217,NDUS8_HUMAN,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",2,2,73701.6,69584,42385.8,80487.6,93053.8,98009.8,93156.4,85300.1
O00231,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,10,10,305490,388010,359094,365092,339792,382372,334843,331998
O00232,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,7,7,326456,403335,321020,336210,421238,438120,393691,437876
O00233,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,3,3,168375,195834,151150,196340,179334,164781,134536,198303
O00255,MEN1_HUMAN,MEN1,Menin,2,2,4838.63,,3734,,7429.15,,,
O00257,CBX4_HUMAN,CBX4,E3 SUMO-protein ligase CBX4,1,1,,1766.58,,1793.79,,2401.45,,
O00264,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,3,3,75819.3,95166.3,81106.9,112511,84569.6,80090.2,98394.1,95774.1
O00267,SPT5H_HUMAN,SUPT5H,Transcription elongation factor SPT5,11,11,120279,138943,128734,104185,129284,144451,138081,135731
O00268,TAF4_HUMAN,TAF4,Transcription initiation factor TFIID subunit 4,4,4,2526.46,3713.95,4889.22,2444.87,3372.07,,2706.96,3539.72
O00273,DFFA_HUMAN,DFFA,DNA fragmentation factor subunit alpha,3,3,11356.6,9960.05,,21119,17553.9,12548.8,19203.6,
O00291,HIP1_HUMAN,HIP1,Huntingtin-interacting protein 1,7,7,6537.84,7202.88,,4926.73,12783.8,8304.56,6240.97,6858.39
O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,6,6,1.73E+06,1.91E+06,1.87E+06,2.12E+06,1.79E+06,2.01E+06,1.99E+06,2.07E+06
O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,5,5,792239,972844,855393,914114,977522,1.03E+06,913965,1.05E+06
O00330,ODPX_HUMAN,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",3,3,31225.3,38574.2,30353,28043.8,39826.3,40651.2,29533.6,39762.1
O00391,QSOX1_HUMAN,QSOX1,Sulfhydryl oxidase 1,1,1,43635.3,49214,63016.4,58162.7,50926.6,54508,46430.9,72097.1
O00399,DCTN6_HUMAN,DCTN6,Dynactin subunit 6,2,2,,8980.06,,9976.55,7887.37,9752.41,9318.41,8385.23
O00400,ACATN_HUMAN,SLC33A1,Acetyl-coenzyme A transporter 1,2,2,69008.5,86717.8,94250.6,67237.8,67454.7,97134.3,52236.9,86791
O00401,WASL_HUMAN,WASL,Actin nucleation-promoting factor WASL,3,3,37412.1,43686.6,27241.9,48708.5,50235.8,51029.5,41973.1,57582.9
O00410,IPO5_HUMAN,IPO5,Importin-5,9,7,640770,701909,640718,641582,648036,816012,631413,757032
O00411,RPOM_HUMAN,POLRMT,"DNA-directed RNA polymerase, mitochondrial",2,2,,10319.8,10423.9,,11727.7,15691.3,14706.9,16416.4
O00418,EF2K_HUMAN,EEF2K,Eukaryotic elongation factor 2 kinase,3,3,6832.56,6993.01,7062.47,7749.01,,12514,7522.26,6875.5
O00422,SAP18_HUMAN,SAP18,Histone deacetylase complex subunit SAP18,1,1,102129,,88872.4,138616,73727.8,132332,98040.9,
O00423,EMAL1_HUMAN,EML1,Echinoderm microtubule-associated protein-like 1,1,1,,,,,5025.28,,,6810.66
O00425,IF2B3_HUMAN,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,6,5,239917,264023,251979,288367,241587,285296,270582,303904
O00429,DNM1L_HUMAN,DNM1L,Dynamin-1-like protein,10,10,145739,178056,154007,144892,144718,163865,155224,170750
O00442,RTCA_HUMAN,RTCA,RNA 3'-terminal phosphate cyclase,1,1,,10269.8,8447.1,,,,,16807.7
O00443,P3C2A_HUMAN,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,9,9,8132.06,9242.48,6081.71,8105.77,4270.28,9505.42,5886.72,6849.67
O00458,IFRD1_HUMAN,IFRD1,Interferon-related developmental regulator 1,4,4,23328.4,26334.6,30736,24954,27610.1,25504,23659.8,25643.4
O00459,P85B_HUMAN,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,2,1,728.316,1209.51,,,,,,
O00461,GOLI4_HUMAN,GOLIM4,Golgi integral membrane protein 4,4,4,33268,44793,38892.2,34223.7,28619.5,32940.6,35466.7,30511.2
O00462,MANBA_HUMAN,MANBA,Beta-mannosidase,1,1,,,6491.61,,,,,
O00468,AGRIN_HUMAN,AGRN,Agrin,7,7,41018.9,51197.8,59822.6,53425.8,49696.6,,51548.8,
O00469,PLOD2_HUMAN,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",4,4,10336.3,6047.58,8328.12,8949.08,8942.23,14372.8,8356.23,5344.25
O00471,EXOC5_HUMAN,EXOC5,Exocyst complex component 5,7,7,40074.9,50173.2,27987.4,40584.5,56485.8,57408.2,52653.2,47532.5
O00483,NDUA4_HUMAN,NDUFA4,Cytochrome c oxidase subunit NDUFA4,2,2,666510,667449,610952,685710,708730,741496,634103,684828
O00487,PSDE_HUMAN,PSMD14,26S proteasome non-ATPase regulatory subunit 14,3,3,251766,327305,271446,257933,274854,293065,245660,304476
O00488,ZN593_HUMAN,ZNF593,Zinc finger protein 593,1,1,,,,,,,,
O00499,BIN1_HUMAN,BIN1,Myc box-dependent-interacting protein 1,2,2,,8955.67,5967.01,,7133.76,6036.6,6267.49,8538.31
O00534,VMA5A_HUMAN,VWA5A,von Willebrand factor A domain-containing protein 5A,7,7,33479.5,35544,37164.1,35497.9,33122,46868.5,42357.4,41699.2
O00541,PESC_HUMAN,PES1,Pescadillo homolog,4,4,168650,144979,174218,123018,206448,216233,216201,193699
O00560,SDCB1_HUMAN,SDCBP,Syntenin-1,1,1,67408.5,61113.2,51038,36937.7,47717.2,60152.3,64520.6,43230.2
O00562,PITM1_HUMAN,PITPNM1,Membrane-associated phosphatidylinositol transfer protein 1,1,1,,,,,,2529.56,,
O00566,MPP10_HUMAN,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10,2,2,4869.41,,,6591.85,,,,
O00567,NOP56_HUMAN,NOP56,Nucleolar protein 56,11,11,505706,619764,548735,629477,533804,599671,574190,661261
O00571,DDX3X_HUMAN,DDX3X,ATP-dependent RNA helicase DDX3X,11,5,251361,426792,313673,279048,300997,305715,290342,352739
O00584,RNT2_HUMAN,RNASET2,Ribonuclease T2,1,1,,6853.4,,,5428.85,,7941.26,
O00592,PODXL_HUMAN,PODXL,Podocalyxin,7,7,484010,519419,517450,616444,515044,603801,529441,505060
O00625,PIR_HUMAN,PIR,Pirin,2,2,106608,133116,97556.2,117226,119327,158327,146442,158691
O00629,IMA3_HUMAN,KPNA4,Importin subunit alpha-3,3,1,127157,178323,149877,192537,154108,147452,140024,143488
O00635,TRI38_HUMAN,TRIM38,E3 ubiquitin-protein ligase TRIM38,1,1,,,5377.02,,,,14474.9,9088.01
O00712,NFIB_HUMAN,NFIB,Nuclear factor 1 B-type,3,2,55738.1,90646.3,97666.1,87820.6,86991.6,88049.9,72231.1,95079
O00743,PPP6_HUMAN,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,4,4,166543,207267,216046,196511,173696,196660,159423,211843
O00754,MA2B1_HUMAN,MAN2B1,Lysosomal alpha-mannosidase,1,1,,6096.13,4883.33,,3180.14,,4029.23,
O00762,UBE2C_HUMAN,UBE2C,Ubiquitin-conjugating enzyme E2 C,1,1,27948.4,31928,30889.8,,29753.4,37473.1,,43278.2
O00764,PDXK_HUMAN,PDXK,Pyridoxal kinase,3,3,382819,379749,396336,396674,418580,447816,381453,480924
O00767,SCD_HUMAN,SCD,Stearoyl-CoA desaturase,3,3,872964,914615,957348,1.04E+06,919659,872873,884935,1.00E+06
O13539,THP2_YEAST,THP2,THO complex subunit THP2,1,1,,,,,,,,
O13563,RPN13_YEAST,RPN13,26S proteasome regulatory subunit RPN13,2,2,32290.2,23772.8,29171.4,32868.3,,19717.6,21845.7,15458.9
O13585,YP089_YEAST,YPR089W,Dilute domain-containing protein YPR089W,3,3,,,,,,,,
O14455;P05745,RL36A_YEAST;RL36B_YEAST,RPL36A;RPL36B,Large ribosomal subunit protein eL36B,3,0,2.65E+06,3.30E+06,3.04E+06,3.34E+06,1.51E+06,1.60E+06,1.33E+06,1.74E+06
O14467,MBF1_YEAST,MBF1,Multiprotein-bridging factor 1,3,3,525218,616154,561665,684515,292854,298136,298735,263969
O14497,ARI1A_HUMAN,ARID1A,AT-rich interactive domain-containing protein 1A,4,4,,,6619.27,,6577.51,4986.03,,3806.08
O14524,NEMP1_HUMAN,NEMP1,Nuclear envelope integral membrane protein 1,1,1,24468.8,17865.2,14207.2,22809,,34738.1,,19241.1
O14530,TXND9_HUMAN,TXNDC9,Thioredoxin domain-containing protein 9,3,3,33611.9,43164.2,39955.2,49408.2,39902.4,58139.1,47640.9,50664.4
O14545,TRAD1_HUMAN,TRAFD1,TRAF-type zinc finger domain-containing protein 1,1,1,,,,,4909.87,,,2104.65
O14548,CO72L_HUMAN,COX7A2L,"Cytochrome c oxidase subunit 7A2-like, mitochondrial",3,3,121205,110355,97882.3,125664,94917.7,107990,130117,108514
O14561,ACPM_HUMAN,NDUFAB1,"Acyl carrier protein, mitochondrial",1,1,,33242,18716,14558.3,37056.6,25961.5,29696.7,
O14562,UBFD1_HUMAN,UBFD1,Ubiquitin domain-containing protein UBFD1,3,3,148605,126492,115842,157781,157322,156024,180628,147509
O14578,CTRO_HUMAN,CIT,Citron Rho-interacting kinase,6,6,9042.53,,,,12221.4,13358.5,,
O14579,COPE_HUMAN,COPE,Coatomer subunit epsilon,4,4,304503,367604,311040,317246,308585,318156,332461,349290
O14617,AP3D1_HUMAN,AP3D1,AP-3 complex subunit delta-1,13,13,97535.4,101298,95951.5,95373.5,105788,117729,98363.2,108868
O14618,CCS_HUMAN,CCS,Copper chaperone for superoxide dismutase,2,2,85961.5,109029,80316.8,91879.3,64859.4,77854,98853.3,95494
O14639,ABLM1_HUMAN,ABLIM1,Actin-binding LIM protein 1,4,4,54433.3,57669.6,50140.1,64061.6,34962.6,76621.7,47500.3,56395.3
O14641,DVL2_HUMAN,DVL2,Segment polarity protein dishevelled homolog DVL-2,2,1,1822.24,,1505.63,1119.6,2252.98,,,
O14646,CHD1_HUMAN,CHD1,Chromodomain-helicase-DNA-binding protein 1,4,3,17163.1,30578.2,30109.1,27648.4,22420.4,26867.2,23761.1,32614.9
O14647,CHD2_HUMAN,CHD2,Chromodomain-helicase-DNA-binding protein 2,3,3,8026.46,5851.3,4487.24,,,7623.51,6375,
O14653,GOSR2_HUMAN,GOSR2,Golgi SNAP receptor complex member 2,1,1,16154.9,54147.2,33286.7,47989.1,32976.1,34646.3,50260.3,43938
O14656,TOR1A_HUMAN,TOR1A,Torsin-1A,3,3,106106,160954,86929.4,131850,107607,132593,123991,150816
O14657,TOR1B_HUMAN,TOR1B,Torsin-1B,3,3,112600,138908,134174,170184,139907,144284,121502,139679
O14662,STX16_HUMAN,STX16,Syntaxin-16,1,1,6744.05,10449,10778.4,9017.11,10007,8457.99,,13143.9
O14672,ADA10_HUMAN,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,5,5,2866.77,4689.65,2578.97,2057.6,3241.44,3928.28,3067.14,
O14681,EI24_HUMAN,EI24,Etoposide-induced protein 2.4 homolog,3,3,14890.8,22802.6,29913.3,28242.2,22251.2,35323.2,22258.4,18328.4
O14686,KMT2D_HUMAN,KMT2D,Histone-lysine N-methyltransferase 2D,1,1,,,,,,,,
O14715,RGPD8_HUMAN,RGPD8,RANBP2-like and GRIP domain-containing protein 8,1,0,,,,,,,,
O14727,APAF_HUMAN,APAF1,Apoptotic protease-activating factor 1,1,1,,,,,,,,
O14730,RIOK3_HUMAN,RIOK3,Serine/threonine-protein kinase RIO3,2,2,,8107.79,5499.36,,9156.51,14002.3,7225.44,8454.11
O14732,IMPA2_HUMAN,IMPA2,Inositol monophosphatase 2,2,2,169375,192013,157954,163603,173839,180971,168403,209022
O14733,MP2K7_HUMAN,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7,1,1,11117,14675.4,,,8280.29,,,
O14734,ACOT8_HUMAN,ACOT8,Acyl-coenzyme A thioesterase 8,3,3,37553.9,21944,32788.6,56543.2,38552.2,46441.4,35711.5,58481.9
O14735,CDIPT_HUMAN,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,1,1,,,24778.3,,,39372.6,,59812.9
O14737,PDCD5_HUMAN,PDCD5,Programmed cell death protein 5,4,4,160642,234484,204310,198333,190539,215986,160785,260659
O14744,ANM5_HUMAN,PRMT5,Protein arginine N-methyltransferase 5,3,3,36834.4,54968.5,41584.5,60313.1,37065.7,44022.6,54573.9,66313.4
O14745,NHRF1_HUMAN,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,6,6,157364,199058,192902,196192,197369,198224,169128,201512
O14757,CHK1_HUMAN,CHEK1,Serine/threonine-protein kinase Chk1,2,2,,,1279.47,3409.83,,3376.11,,1563.78
O14763,TR10B_HUMAN,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,1,1,8502.86,9734.22,7603.63,,9897.55,,8809.55,
O14772,FPGT_HUMAN,FPGT,Fucose-1-phosphate guanylyltransferase,2,2,,,5102.4,11691.5,,,,
O14776,TCRG1_HUMAN,TCERG1,Transcription elongation regulator 1,11,10,109593,125275,99588.6,135086,132472,130372,136505,135209
O14777,NDC80_HUMAN,NDC80,Kinetochore protein NDC80 homolog,9,9,8594.55,8732.32,8084.94,11730.5,5757.98,6640,6871.67,6711.57
O14787,TNPO2_HUMAN,TNPO2,Transportin-2,2,2,,3890.54,,3529.33,,,,4243.42
O14802,RPC1_HUMAN,POLR3A,DNA-directed RNA polymerase III subunit RPC1,10,10,26022.1,18697,32908.4,32180.1,20829.1,19600.1,19850.9,23234.2
O14818,PSA7_HUMAN,PSMA7,Proteasome subunit alpha type-7,3,2,267100,451417,306859,370266,335192,454660,357161,466848
O14828,SCAM3_HUMAN,SCAMP3,Secretory carrier-associated membrane protein 3,2,2,197564,204365,209310,228792,180236,235347,189520,242530
O14893,GEMI2_HUMAN,GEMIN2,Gem-associated protein 2,2,2,18370.8,9223.92,10092.7,14007,7082.01,15975.8,14059.7,19361.9
O14908,GIPC1_HUMAN,GIPC1,PDZ domain-containing protein GIPC1,3,3,66553.2,69782.3,64838.8,80527.4,76235.5,83710.9,65368,79343.1
O14920,IKKB_HUMAN,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,4,4,7135.41,5796.87,,,8750.94,,5397.73,5563.09
O14925,TIM23_HUMAN,TIMM23,Mitochondrial import inner membrane translocase subunit Tim23,2,2,39577.1,57404.6,50146.1,46624.8,50341.4,62884.9,62522.8,86459.5
O14929,HAT1_HUMAN,HAT1,Histone acetyltransferase type B catalytic subunit,4,4,129518,132813,152322,148370,160775,174202,154936,163569
O14936,CSKP_HUMAN,CASK,Peripheral plasma membrane protein CASK,3,3,,18215.4,14756.8,13663.2,15331.8,17449.6,17469.4,21517
O14950;P19105,ML12A_HUMAN;ML12B_HUMAN,MYL12A;MYL12B,Myosin regulatory light chain 12B,2,0,756634,898177,836202,895004,799145,903969,829015,884812
O14964,HGS_HUMAN,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,5,5,61939.4,70400.2,61393.8,63183.9,70147.4,71904.7,65403.9,93205.1
O14967,CLGN_HUMAN,CLGN,Calmegin,2,2,,,8346.49,,4942.17,10192.7,,
O14974,MYPT1_HUMAN,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,8,8,62753.6,65666.7,67800.8,68049.4,64375.1,69855.4,54385,58433.3
O14975,S27A2_HUMAN,SLC27A2,Long-chain fatty acid transport protein 2,11,11,475009,547409,529237,470904,506486,596669,468049,609660
O14976,GAK_HUMAN,GAK,Cyclin-G-associated kinase,7,7,8024.05,11420.6,10508.6,8495.78,10374.6,7754.45,9222.66,9519.35
O14979,HNRDL_HUMAN,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,4,3,49174.3,77466,62379.5,53951.5,53445.4,59506.6,51568.5,60965.3
O14980,XPO1_HUMAN,XPO1,Exportin-1,8,7,728658,810310,784272,798559,687800,868000,786208,920684
O14981,BTAF1_HUMAN,BTAF1,TATA-binding protein-associated factor 172,8,8,8647.86,12206,14098.9,14353.7,11526.1,13692,12338.9,13155.9
O15013,ARHGA_HUMAN,ARHGEF10,Rho guanine nucleotide exchange factor 10,2,2,,,,1163.32,,,2033.67,
O15014,ZN609_HUMAN,ZNF609,Zinc finger protein 609,1,1,,,,,,,,
O15020,SPTN2_HUMAN,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",15,15,17436.6,22114.1,15698.5,18330,13102.7,20921,21255.4,15481.1
O15027,SC16A_HUMAN,SEC16A,Protein transport protein Sec16A,14,14,70723.3,82763.8,80907.7,99008.8,83028.4,91686.5,73797.2,98240.1
O15031,PLXB2_HUMAN,PLXNB2,Plexin-B2,8,8,25052.8,30696.8,30826.2,22674.2,26370.4,37329.4,25071.8,21666.4
O15042,SR140_HUMAN,U2SURP,U2 snRNP-associated SURP motif-containing protein,5,5,72559.2,102010,75400.3,74776.2,100149,99555.8,84048.4,83400.4
O15047,SET1A_HUMAN,SETD1A,Histone-lysine N-methyltransferase SETD1A,3,3,,,2017.22,,2528.8,2944.55,,
O15066,KIF3B_HUMAN,KIF3B,Kinesin-like protein KIF3B,1,0,,,,,,,,
O15067,PUR4_HUMAN,PFAS,Phosphoribosylformylglycinamidine synthase,14,14,270639,311330,295275,275533,276334,326161,280650,314566
O15083,ERC2_HUMAN,ERC2,ERC protein 2,1,1,,,,,,,30111,
O15084,ANR28_HUMAN,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,1,1,,,1945.47,,,,2628.48,
O15085,ARHGB_HUMAN,ARHGEF11,Rho guanine nucleotide exchange factor 11,1,1,,,,,700.445,,,
O15111,IKKA_HUMAN,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,2,2,,,22946.2,,,18433.6,9778.64,13135.7
O15118,NPC1_HUMAN,NPC1,NPC intracellular cholesterol transporter 1,4,4,24409.9,18266.4,30203.5,22054.2,19603.7,14489.2,16975.9,22726.2
O15119,TBX3_HUMAN,TBX3,T-box transcription factor TBX3,1,1,,756.58,,,,,,
