Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114,HYEB_rep111,HYEB_rep112,HYEB_rep113,HYEB_rep114
P25087,ERG6_YEAST,ERG6,Sterol 24-C-methyltransferase ERG6,6,6,178154,233348,212160,209018,101613,98746,107285,124261
P25092,GUC2C_HUMAN,GUCY2C,Guanylyl cyclase C,1,1,,,,,,,55502.6,
P25098,ARBK1_HUMAN,GRK2,Beta-adrenergic receptor kinase 1,2,0,,14151.9,,12138.2,16674,22346,11857.1,
P25205,MCM3_HUMAN,MCM3,DNA replication licensing factor MCM3,14,14,393027,477137,431004,472230,404470,446418,438121,512162
P25208,NFYB_HUMAN,NFYB,Nuclear transcription factor Y subunit beta,1,1,9175.39,14140.8,,,5967.62,9077.45,6928.8,13031.8
P25293,NAP1_YEAST,NAP1,Nucleosome assembly protein,2,2,47808.9,115462,77307.3,88738.5,44805.3,44085.1,35821.5,42678.3
P25294,SIS1_YEAST,SIS1,Protein SIS1,4,4,157423,140341,156099,139998,60367.1,70406.4,69766.1,70171.4
P25296;Q8N987,CANB_YEAST;NECA1_HUMAN,CNB1;NECAB1,Calcineurin subunit B,1,0,71005.4,64670.9,42691,61885.3,,39944.4,28258.3,26087.1
P25297,PHO84_YEAST,PHO84,Inorganic phosphate transporter PHO84,1,1,,,,,,,,
P25303,SCJ1_YEAST,SCJ1,DnaJ-related protein SCJ1,2,2,21096.4,22201.9,14186,,9070.57,,7780.79,14313.8
P25332,RBSK_YEAST,RBK1,Ribokinase,2,2,6474.77,,,,,,,
P25339,PUF4_YEAST,PUF4,Pumilio homology domain family member 4,2,2,119258,208937,256498,129835,112000,,131391,
P25342,CDC10_YEAST,CDC10,Cell division control protein 10,4,4,33203.3,58673.7,47542.9,45739,23377.1,29147.4,21857.6,29438.7
P25343,RV161_YEAST,RVS161,Reduced viability upon starvation protein 161,5,5,81707.2,77910.8,77265.6,79290.3,49635.8,38314.3,25353.3,40490.7
P25349,YCP4_YEAST,YCP4,Flavoprotein-like protein YCP4,2,2,371068,424525,337847,447342,169150,196261,194696,200443
P25351,YCR3_YEAST,YCR023C,Major facilitator superfamily domain-containing protein YCR023C,1,1,,,,3821.05,,,3056.62,
P25358,ELO2_YEAST,ELO2,Fatty acid elongase 2,1,1,40286.5,38945,62438.3,53167.2,17689.6,13645.4,,24819.5
P25359,RRP43_YEAST,RRP43,Exosome complex component RRP43,4,4,,6089.26,,4676.51,,,,
P25367,RNQ1_YEAST,RNQ1,[PIN+] prion protein RNQ1,2,2,43643.7,46228.9,33272.5,40282.8,,,47885.8,23455.6
P25371,ADP1_YEAST,ADP1,Probable ATP-dependent permease,2,2,,,,,,,,
P25373,GLRX1_YEAST,GRX1,Glutaredoxin-1,5,5,172009,238151,191835,232836,103678,107119,91504.2,95940.7
P25374,NFS1_YEAST,NFS1,"Cysteine desulfurase, mitochondrial",3,3,26311.7,47006.4,39321.3,30944.6,19305,18042.7,,
P25375,PRTD_YEAST,PRD1,Saccharolysin,3,3,135706,122268,143226,172459,82381.4,100546,,
P25378,RHEB_YEAST,RHB1,GTP-binding protein RHB1,1,1,,,,,,,,
P25379,STDH_YEAST,CHA1,Catabolic L-serine/threonine dehydratase,1,1,2948.83,,4537.56,4955.42,1011.65,2213.97,,
P25385,BOS1_YEAST,BOS1,Protein transport protein BOS1,2,2,13709.4,13953.3,7209.44,10688.5,,9594.31,,10252.6
P25386,USO1_YEAST,USO1,Intracellular protein transport protein USO1,13,13,18706.1,17277.2,24495.6,26701.7,12587.9,10922.8,10234.7,11294.4
P25397,TEHB_ECOLI,tehB,Tellurite methyltransferase,2,2,,,,,75961.1,78033.8,82367.5,63748.9
P25398,RS12_HUMAN,RPS12,Small ribosomal subunit protein eS12,3,3,3.62E+06,4.16E+06,3.77E+06,4.05E+06,4.27E+06,4.73E+06,4.18E+06,4.76E+06
P25437,FRMA_ECOLI,frmA,S-(hydroxymethyl)glutathione dehydrogenase,1,1,13393.4,23749.5,37862.5,,145146,147945,130561,105491
P25440,BRD2_HUMAN,BRD2,Bromodomain-containing protein 2,2,2,5987.05,9639.43,12193.7,13467,13956.6,9502.63,15864.1,
P25443,RS2_YEAST,RPS2,Small ribosomal subunit protein uS5,1,1,,,,11428.1,,,,
P25445,TNR6_HUMAN,FAS,Tumor necrosis factor receptor superfamily member 6,2,2,6415.41,12895.8,9640.99,12174.5,,6753.67,7528.59,13986.3
P25451,PSB3_YEAST,PUP3,Proteasome subunit beta type-3,2,2,157440,157454,148278,174939,67114.1,68030,65834.4,58000.7
P25490,TYY1_HUMAN,YY1,Transcriptional repressor protein YY1,2,1,,58701.1,42413.5,52252.6,43583.9,49718.9,33495.7,38929.2
P25491,MAS5_YEAST,YDJ1,Mitochondrial protein import protein MAS5,5,5,251571,262977,255202,284442,127042,130724,127529,151458
P25516,ACNA_ECOLI,acnA,Aconitate hydratase A,11,11,260843,252616,251618,282539,961968,1.05E+06,950460,1.05E+06
P25519,HFLX_ECOLI,hflX,GTPase HflX,4,4,16010.5,,13209,,32509.6,40871.5,25064.5,58703.9
P25522,MNME_ECOLI,mnmE,tRNA modification GTPase MnmE,3,3,40853.5,26637.1,32611.5,34840.9,63585.5,116269,108083,91701.4
P25526,GABD_ECOLI,gabD,Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,3,3,85501.9,122869,106263,94270.9,421276,240682,217436,386898
P25536,NTPPA_ECOLI,yhdE,dTTP/UTP pyrophosphatase,2,2,,,,,,65216.2,52028.5,
P25539,RIBD_ECOLI,ribD,Riboflavin biosynthesis protein RibD,1,1,,,,,,11203.5,,
P25552,GPPA_ECOLI,gppA,"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase",3,3,,,,,18017.6,14312.7,11874.9,16710.3
P25553,ALDA_ECOLI,aldA,Lactaldehyde dehydrogenase,12,12,1.58E+06,1.94E+06,1.66E+06,1.90E+06,7.11E+06,8.25E+06,7.33E+06,8.20E+06
P25555,GBP2_YEAST,GBP2,Serine/arginine (SR)-type shuttling mRNA binding protein GBP2,3,3,3619.45,2387.02,5526.37,4926.89,2395.01,,,3311.05
