1,1.1568428,3.9175878,3.0077367,2.210318
2,1.1719391,4.1387467,3.1663969,2.2757561
3,1.5134429,4.199854,3.3208997,2.5231543
4,1.4864935,4.4982777,3.5113986,2.647373
5,0.87902427,3.6299946,2.7280047,1.9368904
6,1.2129081,4.014536,3.105684,2.294038
7,1.3424182,4.4648604,3.4784474,2.5597816
8,1.4003836,4.116338,3.2353213,2.4517567
9,1.4126765,4.4374704,3.450947,2.5733123
10,1.3252314,4.1003985,3.204373,2.3782067
11,1.3429556,4.367192,3.3797064,2.5018592
12,1.4290721,4.2204237,3.3237226,2.497789
13,1.1208302,4.0878263,3.0997963,2.2099903
14,1.3850127,4.146534,3.251018,2.4539256
15,1.4468143,4.4447546,3.4574063,2.5658336
16,1.4726107,4.2466874,3.3499067,2.5537012
17,1.6136127,4.5390277,3.5659547,2.6893232
18,1.3278669,4.1005573,3.207076,2.4094958
19,1.4755338,4.4748573,3.4867756,2.6221125
20,1.5363144,4.286756,3.3886523,2.604579
21,1.4572464,4.584071,3.5673666,2.618648
22,1.0340972,4.0822783,3.0683806,2.1648943
23,1.1577667,3.9132698,3.0200748,2.2243366
24,1.0049375,4.097574,3.0825531,2.1639032
25,1.2390356,3.977208,3.0993392,2.3177853
26,1.4244375,4.471355,3.4585009,2.5689971
27,1.3715822,4.1263556,3.219765,2.436892
28,1.4257369,4.4304266,3.4174168,2.556025
29,1.3850101,4.144651,3.2638972,2.465988
30,1.4261975,4.420038,3.433142,2.544072
31,1.4138399,4.208112,3.3027196,2.5068717
32,1.5418353,4.533707,3.5478716,2.6446369
33,1.3419949,4.1788497,3.2869806,2.436415
34,1.4988015,4.4905663,3.4914343,2.60125
35,1.1293709,3.9018118,3.0064824,2.209796
36,1.261138,4.225199,3.2395194,2.3644426
37,1.4280422,4.2127585,3.303511,2.4787743
38,1.502095,4.366805,3.3958476,2.5204296
39,1.2299055,3.9734128,3.0654843,2.2550411
40,1.3162937,4.3089867,3.3102417,2.433398
41,1.3853866,4.138734,3.2460334,2.4506395
42,1.5041239,4.400097,3.4147553,2.5386133
43,1.3698446,4.0710077,3.1895413,2.3796606
44,1.2877749,4.251045,3.2517226,2.3626034
45,1.3251199,4.105786,3.2005503,2.391077
46,1.5270779,4.450761,3.4784522,2.6027007
47,1.3695216,4.0523043,3.1746979,2.3789432
48,1.232879,4.2416587,3.2538767,2.3638299
49,1.3870928,4.1161847,3.2222998,2.4397871
50,1.2167991,4.3143826,3.2983816,2.3783023
51,1.6488557,4.3320155,3.4403443,2.6580458
52,1.07528,4.080266,3.0946736,2.1918192
53,1.5186023,4.2573695,3.3656528,2.5700634
54,1.144649,4.223337,3.208917,2.2902102
55,1.3967115,4.1529655,3.2568088,2.4752004
56,1.4777946,4.483064,3.4838507,2.59452
57,1.3401471,4.12334,3.228819,2.4340167
58,1.3971316,4.3901854,3.3902633,2.5140746
59,1.240905,4.02343,3.1170766,2.3343794
60,1.2976394,4.218341,3.2472994,2.3859425
61,1.5605595,4.263259,3.3691003,2.5985522
62,1.2822797,4.287198,3.2877548,2.3849142
63,1.3851441,4.153542,3.2475653,2.4649138
64,1.4236046,4.4438653,3.4582236,2.5965405
65,1.5497599,4.322835,3.4419894,2.6443138
66,1.5128862,4.5092444,3.5082269,2.6164207
67,1.2249541,3.9663017,3.057254,2.261806
68,1.0746127,4.0934186,3.0929182,2.1907067
69,1.3129783,4.0968933,3.2039168,2.3803155
70,1.5826075,4.5207515,3.5472457,2.685346
71,1.341778,4.0534883,3.1600354,2.3641691
72,1.355139,4.3929935,3.3918118,2.5150585
73,1.4298913,4.170722,3.2769845,2.4813926
74,1.3228078,4.4261007,3.426145,2.4942813
75,1.4587185,4.142361,3.2643533,2.4821992
76,1.2971762,4.343941,3.3311858,2.4406953
77,1.3431222,4.0719624,3.178166,2.381728
78,1.4090159,4.5013056,3.5005643,2.5535126
79,1.4588721,4.199821,3.3080206,2.5106888
80,1.2682831,4.289908,3.289981,2.385512
81,1.2278359,3.984013,3.0906568,2.2802877
82,1.1433711,4.148251,3.1485457,2.2467957
83,1.2982802,4.056246,3.1601884,2.3772335
84,1.2985923,4.2792373,3.2930214,2.4295979
85,1.1157205,3.9015086,2.9938242,2.1969144
86,1.1912117,4.161568,3.159208,2.3099477
87,1.1850185,3.9444444,3.0493932,2.2526867
88,1.1861647,4.138092,3.1511855,2.302727
89,1.2692496,3.9723344,3.0899994,2.2801385
90,1.1318606,4.1108904,3.137975,2.2495646
91,1.46138,4.2348976,3.3402495,2.5288644
92,1.2434684,4.279191,3.292656,2.4167852
93,1.5363115,4.3517866,3.471022,2.6315205
94,1.526718,4.510048,3.5370529,2.6460607
95,1.5187713,4.3060055,3.3975315,2.5861528
96,1.2045412,4.205718,3.202243,2.310973
97,1.4310399,4.1766524,3.2809265,2.483949
98,1.5129861,4.4535317,3.4659853,2.6155252
99,1.5499347,4.2840214,3.388773,2.589544
100,1.4676881,4.522795,3.534272,2.6290743
101,1.3306575,4.063997,3.168593,2.3845515
102,1.4117943,4.3925796,3.419444,2.5152493
103,1.5952579,4.2685666,3.3741283,2.591362
104,1.3978043,4.4403286,3.450953,2.5584123
105,1.2605493,4.018429,3.1100216,2.2994432
106,1.3120196,4.380907,3.3765965,2.4427981
107,1.4886292,4.1797676,3.2963572,2.5136147
108,1.3670622,4.3638577,3.389218,2.49785
109,1.5337065,4.2903123,3.3832448,2.601315
110,1.2688653,4.262569,3.26097,2.3707573
111,1.2160388,3.9892163,3.0804224,2.2701583
112,1.3837517,4.395768,3.3932664,2.4874976
113,1.25811,4.0224648,3.110338,2.2975273
114,1.073552,4.071196,3.082222,2.2046957
115,1.5159628,4.2754354,3.3799593,2.582226
116,1.2811395,4.277004,3.2883224,2.3839157
117,1.2091229,4.039185,3.1432607,2.3047426
118,1.3569133,4.356034,3.351583,2.4886072
119,1.4287168,4.2178726,3.3079872,2.5099707
120,1.0752331,4.060589,3.0568948,2.165901
121,1.1428306,3.9306726,3.0062678,2.1959121
122,1.2150377,4.159024,3.197385,2.3202045
123,1.5363442,4.299873,3.4012713,2.5894327
124,1.5266677,4.528913,3.523375,2.6171274
125,1.4912072,4.293597,3.384098,2.5582447
126,1.485904,4.4761624,3.5126116,2.6055038
127,1.3128682,4.059813,3.1632266,2.3802474
128,1.2421883,4.1321826,3.1699836,2.3187127
129,1.3452451,4.06398,3.1811893,2.383709
130,1.2743138,4.25152,3.2582724,2.3799577
131,1.2992373,4.0742407,3.1783586,2.3525453
132,1.1578448,4.1584473,3.167986,2.290035
133,1.4018198,4.105073,3.222778,2.4263315
134,1.3437581,4.3335824,3.356302,2.4775476
135,1.2148216,3.976697,3.0805287,2.2961943
136,1.5022203,4.506738,3.5144243,2.6206143
137,1.3116982,4.158602,3.261474,2.4222465
138,1.4330564,4.439073,3.445764,2.566724
139,1.2273424,3.9897003,3.0923464,2.280857
140,1.303913,4.322182,3.343696,2.4364238
141,1.3008097,4.047084,3.1505902,2.3260376
142,1.3449901,4.2905345,3.2993639,2.4078026
143,1.5212857,4.2819047,3.385332,2.5746336
144,1.0784124,4.0872846,3.0788674,2.212951
145,1.2438471,3.964178,3.0806742,2.310893
146,1.1187857,4.208409,3.1875863,2.294609
147,1.4536935,4.2410154,3.3693056,2.5555143
148,1.3658662,4.3960376,3.3982692,2.5169063
149,1.378315,4.104183,3.2194846,2.4066796
150,1.4213877,4.4466558,3.438421,2.5573912
151,1.5095404,4.2640314,3.3648245,2.5525405
152,1.4820687,4.436447,3.4698498,2.5888844
153,1.4966403,4.2392983,3.3401873,2.5257277
154,1.4162258,4.4244046,3.430638,2.5509024
155,1.493546,4.245841,3.3475428,2.5625038
156,1.5405151,4.5040474,3.524962,2.6320617
157,1.6590841,4.32419,3.4265177,2.642876
158,1.0891603,4.109605,3.1163232,2.2227871
159,1.465272,4.20295,3.3042977,2.4923947
160,1.1030991,4.194533,3.1864643,2.251127
161,1.3295885,4.079598,3.182832,2.3986914
162,1.1854168,4.2314796,3.224799,2.331491
163,1.4634256,4.200781,3.3024483,2.5176368
164,1.4840821,4.478199,3.4982638,2.5908842
