Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_1,HYEA_2,HYEA_3
A0A024R1R8;Q9Y2S6,TMA7B_HUMAN;TMA7_HUMAN,TMA7;TMA7B,Translation machinery-associated protein 7B,1,0,428100,539676,536287
A0A024RBG1,NUD4B_HUMAN,NUDT4B,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,1,0,12919.5,11334,13280.5
A0A0B4J2F0,PIOS1_HUMAN,PIGBOS1,Protein PIGBOS1,1,1,132284,131967,150959
A0A0U1RRE5,NBDY_HUMAN,NBDY,Negative regulator of P-body association,1,1,12631.4,15790.5,19270.5
A0A1W2PP81;A0A1W2PPE2;A0A1W2PPH5;A0A1W2PR64;A0A1W2PRV1;P0DW11;P0DW12;P0DW13;P0DW14,TFKL3_HUMAN;TFKL4_HUMAN;TFKL5_HUMAN;TFKL6_HUMAN;TFKL7_HUMAN;TFKL8_HUMAN;TFKL9_HUMAN;TFKLJ_HUMAN;TFLM_HUMAN,TAF11L10;TAF11L13;TAF11L3;TAF11L4;TAF11L5;TAF11L6;TAF11L7;TAF11L8;TAF11L9,TATA-box-binding protein-associated factor 11-like protein 5,1,0,,,
A0A3B3IU46;Q9BTL3,RAMAC_HUMAN;RMACL_HUMAN,RAMAC;RAMACL,RNA guanine-N7 methyltransferase-activating subunit-like protein,1,0,21589.2,30832.5,37871.4
A0A8I5KQE6;P08865,RPSA2_HUMAN;RSSA_HUMAN,RPSA;RPSA2,Small ribosomal subunit protein uS2B,9,0,2.33E+06,2.01E+06,1.95E+06
A0AV96,RBM47_HUMAN,RBM47,RNA-binding protein 47,7,7,40752.2,31926,29089.4
A0AVT1,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,23,23,109026,91017.1,89961
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,7,7,71772.8,79308.1,80580.4
A0JNW5,BLT3B_HUMAN,BLTP3B,Bridge-like lipid transfer protein family member 3B,4,4,5392.58,6366.19,6051.78
A0MZ66,SHOT1_HUMAN,SHTN1,Shootin-1,14,14,108267,112697,110742
A0PJW6,TM223_HUMAN,TMEM223,Transmembrane protein 223,1,1,8274.51,7722.68,6045.9
A1L0T0,HACL2_HUMAN,ILVBL,2-hydroxyacyl-CoA lyase 2,6,6,145498,121455,117666
A1L170,CA226_HUMAN,C1orf226,Uncharacterized protein C1orf226,1,1,,2917.38,3504.66
A1L390,PKHG3_HUMAN,PLEKHG3,Pleckstrin homology domain-containing family G member 3,3,3,2371.68,,4014.69
A1X283,SPD2B_HUMAN,SH3PXD2B,SH3 and PX domain-containing protein 2B,3,3,7485.54,5157.32,9660.92
A2AJT9,BCLA3_HUMAN,BCLAF3,BCLAF1 and THRAP3 family member 3,1,1,2308.08,5034.54,
A2RRP1,NBAS_HUMAN,NBAS,NBAS subunit of NRZ tethering complex,16,16,20677.6,18833.2,18209.2
A2RU67,F234B_HUMAN,FAM234B,Protein FAM234B,1,1,4236.66,3279.43,5425.15
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,20,20,112379,113538,103595
A3KN83,SBNO1_HUMAN,SBNO1,Protein strawberry notch homolog 1,5,3,11794.9,12604.6,14350.9
A4D1E9,GTPBA_HUMAN,GTPBP10,GTP-binding protein 10,7,7,33477.6,27368.1,30235.4
A4D1P6,WDR91_HUMAN,WDR91,WD repeat-containing protein 91,3,3,,,5303.49
A5D8V6,VP37C_HUMAN,VPS37C,Vacuolar protein sorting-associated protein 37C,2,2,,,6597.91
A5PLN9,TPC13_HUMAN,TRAPPC13,Trafficking protein particle complex subunit 13,2,2,6946.67,,11838.8
A5YKK6,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,27,27,107658,103041,100004
A6NCE7;Q9GZQ8,MLP3B_HUMAN;MP3B2_HUMAN,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,1,0,93584.5,49487.7,45930.3
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,7,7,94697.9,110188,83009
A6NDU8,RIMC1_HUMAN,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,4,4,49867.5,53884.9,56044.6
A6NED2,RCCD1_HUMAN,RCCD1,RCC1 domain-containing protein 1,2,2,19593.7,34475.8,26474.4
A6NER3;A1L429;A6NDE8;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q13069;Q13070;Q4V321;Q4V326,GAG13_HUMAN;GAG2E_HUMAN;GAGE1_HUMAN;GAGE4_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN,GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE13;GAGE2E;GAGE4;GAGE5;GAGE6;GAGE7,G antigen 12B/C/D/E,1,0,5875.65,,4514.4
A6NFI3,ZN316_HUMAN,ZNF316,Zinc finger protein 316,3,3,,5801.69,
A6NHR9,SMHD1_HUMAN,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,24,24,75828.2,74060.9,68393.6
A6NIH7,U119B_HUMAN,UNC119B,Protein unc-119 homolog B,3,3,25650.2,26973.7,33851.3
A6NKF1,SAC31_HUMAN,SAC3D1,SAC3 domain-containing protein 1,3,3,31319.6,39631.7,29258.2
A6ZKI3;Q9BWD3,RTL8A_HUMAN;RTL8C_HUMAN,RTL8A;RTL8C,Retrotransposon Gag-like protein 8C,1,0,6217.93,8602.71,4784.04
A7E2V4,ZSWM8_HUMAN,ZSWIM8,Zinc finger SWIM domain-containing protein 8,2,2,,,
A8CG34;Q96HA1,P121A_HUMAN;P121C_HUMAN,POM121;POM121C,Nuclear envelope pore membrane protein POM 121C,3,0,28456.2,15583.3,30215.7
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3,WASH1_HUMAN;WASH2_HUMAN;WASH3_HUMAN;WASH4_HUMAN;WASH6_HUMAN,WASH2P;WASH3P;WASH4P;WASH6P;WASHC1,WASH complex subunit 1,1,0,6621.47,5598.59,7583.06
A8MPP1,D11L8_HUMAN,DDX11L8,Putative ATP-dependent DNA helicase DDX11-like protein 8,4,0,4401.27,5652.82,3590.82
A8MT69,CENPX_HUMAN,CENPX,Centromere protein X,1,1,13385.7,14480.3,20716.4
A8MWD9;P62308,RUXGL_HUMAN;RUXG_HUMAN,SNRPG;SNRPGP15,Putative small nuclear ribonucleoprotein G-like protein 15,1,0,680898,511985,514798
A8MXV4,NUD19_HUMAN,NUDT19,Acyl-coenzyme A diphosphatase NUDT19,4,4,61854,42122.8,50891.5
A9QM74,IMA8_HUMAN,KPNA7,Importin subunit alpha-8,1,1,119869,78308.2,78167.1
A9UHW6,MI4GD_HUMAN,MIF4GD,MIF4G domain-containing protein,1,1,335.223,,6381.09
B0I1T2,MYO1G_HUMAN,MYO1G,Unconventional myosin-Ig,24,22,356189,280469,260623
B5ME19;Q99613,EIF3C_HUMAN;EIFCL_HUMAN,EIF3C;EIF3CL,Eukaryotic translation initiation factor 3 subunit C-like protein,19,0,396267,366099,362071
B7ZAQ6;P0CG08,GPHRA_HUMAN;GPHRB_HUMAN,GPR89A;GPR89B,Golgi pH regulator A,4,0,33962.8,48931,55884.1
C9J7I0,UMAD1_HUMAN,UMAD1,UBAP1-MVB12-associated (UMA)-domain containing protein 1,1,1,,3775.96,
E9PAV3;Q13765,NACAM_HUMAN;NACA_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",3,2,1.13E+06,925086,942584
E9PRG8,CK098_HUMAN,C11orf98,Uncharacterized protein C11orf98,1,1,293988,212763,238672
L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,2,2,72073.8,53837.1,59303.2
L0R819,ASURF_HUMAN,ASDURF,ASNSD1 upstream open reading frame protein,3,3,41218.1,41602.5,43149.1
O00115,DNS2A_HUMAN,DNASE2,Deoxyribonuclease-2-alpha,3,3,166649,148415,164646
O00116,ADAS_HUMAN,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",14,14,189080,170646,169406
O00139,KIF2A_HUMAN,KIF2A,Kinesin-like protein KIF2A,9,8,76241.2,61766.4,61340
O00141,SGK1_HUMAN,SGK1,Serine/threonine-protein kinase Sgk1,1,1,,,
O00142,KITM_HUMAN,TK2,"Thymidine kinase 2, mitochondrial",4,4,14566.3,17265.5,13682.7
O00148,DX39A_HUMAN,DDX39A,ATP-dependent RNA helicase DDX39A,13,5,1.50E+06,1.40E+06,1.40E+06
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,7,7,41959.5,33760.9,39239.1
O00154,BACH_HUMAN,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,10,10,324140,255623,235823
O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,11,11,108948,95067.4,100723
O00161,SNP23_HUMAN,SNAP23,Synaptosomal-associated protein 23,4,4,57792.6,56177.3,47445.3
O00165,HAX1_HUMAN,HAX1,HCLS1-associated protein X-1,3,3,73344.4,46865.9,52624.1
O00170,AIP_HUMAN,AIP,AH receptor-interacting protein,5,5,169910,132203,137151
O00178,GTPB1_HUMAN,GTPBP1,GTP-binding protein 1,6,6,87332.8,75871.4,69662.1
O00180,KCNK1_HUMAN,KCNK1,Potassium channel subfamily K member 1,1,1,2880.3,4037.02,
O00182;Q3B8N2;Q6DKI2,LEG9B_HUMAN;LEG9C_HUMAN;LEG9_HUMAN,LGALS9;LGALS9B;LGALS9C,Galectin-9,1,0,55521.7,,
O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,7,7,59415.9,60786.1,53161.5
O00187,MASP2_HUMAN,MASP2,Mannan-binding lectin serine protease 2,2,2,11157,17396.5,8525.93
O00189,AP4M1_HUMAN,AP4M1,AP-4 complex subunit mu-1,2,2,8888.06,,6114.17
O00194,RB27B_HUMAN,RAB27B,Ras-related protein Rab-27B,5,4,63720.3,58649.8,51988.9
O00203,AP3B1_HUMAN,AP3B1,AP-3 complex subunit beta-1,11,9,313466,283898,233494
O00212,RHOD_HUMAN,RHOD,Rho-related GTP-binding protein RhoD,1,1,11161.1,18053,12564.5
O00217,NDUS8_HUMAN,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",2,2,161977,128209,140914
O00220,TR10A_HUMAN,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,1,1,19264.2,16882.6,16677.5
O00231,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,15,15,346531,330050,343417
O00232,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,11,11,274613,217760,205221
O00233,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,8,8,288001,331679,302526
O00255,MEN1_HUMAN,MEN1,Menin,7,7,17912.9,25580.9,18745.5
O00257,CBX4_HUMAN,CBX4,E3 SUMO-protein ligase CBX4,2,2,13304.8,15039.2,13786
O00264,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,2,2,536267,403298,425556
O00267,SPT5H_HUMAN,SUPT5H,Transcription elongation factor SPT5,16,16,155290,146809,151509
O00268,TAF4_HUMAN,TAF4,Transcription initiation factor TFIID subunit 4,7,7,13341,14750.3,13867.1
O00273,DFFA_HUMAN,DFFA,DNA fragmentation factor subunit alpha,7,7,37147,46032.2,39264.6
O00287,RFXAP_HUMAN,RFXAP,Regulatory factor X-associated protein,1,1,5376.59,,
O00291,HIP1_HUMAN,HIP1,Huntingtin-interacting protein 1,12,12,15935,16074.9,15656.8
O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,10,10,2.42E+06,2.49E+06,2.54E+06
O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,6,6,475295,418574,404721
O00308,WWP2_HUMAN,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2,1,1,3808.45,7041.21,4047.56
O00330,ODPX_HUMAN,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",4,4,71963.6,73262.5,52594.2
O00391,QSOX1_HUMAN,QSOX1,Sulfhydryl oxidase 1,3,3,81163.6,95255.2,68393.3
O00399,DCTN6_HUMAN,DCTN6,Dynactin subunit 6,2,2,40695.1,46801.4,34890.6
O00400,ACATN_HUMAN,SLC33A1,Acetyl-coenzyme A transporter 1,4,4,43868.9,40135.5,37473.3
O00401,WASL_HUMAN,WASL,Actin nucleation-promoting factor WASL,3,3,33473.6,29347.3,28010.3
O00410,IPO5_HUMAN,IPO5,Importin-5,18,16,393748,370068,372951
O00411,RPOM_HUMAN,POLRMT,"DNA-directed RNA polymerase, mitochondrial",7,7,22375,15917,13569.9
O00418,EF2K_HUMAN,EEF2K,Eukaryotic elongation factor 2 kinase,4,4,26210.9,27795.3,29721.7
O00422,SAP18_HUMAN,SAP18,Histone deacetylase complex subunit SAP18,4,4,127534,166739,184670
O00423,EMAL1_HUMAN,EML1,Echinoderm microtubule-associated protein-like 1,3,3,5802.83,9811.63,9148.9
O00425,IF2B3_HUMAN,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,12,10,273107,244310,257833
O00429,DNM1L_HUMAN,DNM1L,Dynamin-1-like protein,12,12,165472,175660,171289
O00442,RTCA_HUMAN,RTCA,RNA 3'-terminal phosphate cyclase,3,3,21659.7,22414.9,22568.2
O00443,P3C2A_HUMAN,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,15,15,17450.8,18441.2,18788.5
O00458,IFRD1_HUMAN,IFRD1,Interferon-related developmental regulator 1,7,7,44638,38399.8,32826.6
O00459,P85B_HUMAN,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,6,5,5781.44,7175.08,5577.79
O00461,GOLI4_HUMAN,GOLIM4,Golgi integral membrane protein 4,8,8,45694,40528.3,47095.3
O00462,MANBA_HUMAN,MANBA,Beta-mannosidase,3,3,12634.8,,6742.87
O00468,AGRIN_HUMAN,AGRN,Agrin,12,12,19348.1,19763.5,19559.2
O00469,PLOD2_HUMAN,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",6,6,17831.9,16912.3,18262.4
O00471,EXOC5_HUMAN,EXOC5,Exocyst complex component 5,9,9,34378.5,33025,30871.9
O00479,HMGN4_HUMAN,HMGN4,High mobility group nucleosome-binding domain-containing protein 4,1,1,177546,231077,265410
O00481,BT3A1_HUMAN,BTN3A1,Butyrophilin subfamily 3 member A1,1,1,29322.6,20805.8,23058.1
O00483,NDUA4_HUMAN,NDUFA4,Cytochrome c oxidase subunit NDUFA4,3,3,737038,662278,670725
O00487,PSDE_HUMAN,PSMD14,26S proteasome non-ATPase regulatory subunit 14,2,2,150227,98114.2,95021.6
O00499,BIN1_HUMAN,BIN1,Myc box-dependent-interacting protein 1,5,5,22576.5,18412.9,22895.3
O00505,IMA4_HUMAN,KPNA3,Importin subunit alpha-4,3,3,93175.9,125658,135147
O00534,VMA5A_HUMAN,VWA5A,von Willebrand factor A domain-containing protein 5A,10,10,73777.6,71930.1,51493.8
O00541,PESC_HUMAN,PES1,Pescadillo homolog,9,9,236314,239843,274697
O00560,SDCB1_HUMAN,SDCBP,Syntenin-1,4,4,37856.8,32981.1,28376.9
O00562,PITM1_HUMAN,PITPNM1,Membrane-associated phosphatidylinositol transfer protein 1,3,3,8344.16,12315.5,10026.3
O00566,MPP10_HUMAN,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10,6,6,53293.5,51787.3,53605
O00567,NOP56_HUMAN,NOP56,Nucleolar protein 56,15,15,417346,432276,445901
O00571,DDX3X_HUMAN,DDX3X,ATP-dependent RNA helicase DDX3X,17,7,440131,407474,395449
O00584,RNT2_HUMAN,RNASET2,Ribonuclease T2,2,2,14950.6,12600.6,20950.7
O00592,PODXL_HUMAN,PODXL,Podocalyxin,7,7,575950,702942,696800
O00622,CCN1_HUMAN,CCN1,CCN family member 1,4,4,17008.7,18727.5,16765.2
O00625,PIR_HUMAN,PIR,Pirin,3,3,203702,225711,214384
O00629,IMA3_HUMAN,KPNA4,Importin subunit alpha-3,6,4,267705,202267,189963
O00635,TRI38_HUMAN,TRIM38,E3 ubiquitin-protein ligase TRIM38,3,3,13627,16409.3,10909.4
O00712,NFIB_HUMAN,NFIB,Nuclear factor 1 B-type,4,4,25551.3,29526.6,29243.8
O00716,E2F3_HUMAN,E2F3,Transcription factor E2F3,1,0,,,
O00743,PPP6_HUMAN,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,4,4,193835,134737,147039
O00750,P3C2B_HUMAN,PIK3C2B,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,2,2,4137.25,4225.86,3506.85
O00754,MA2B1_HUMAN,MAN2B1,Lysosomal alpha-mannosidase,1,1,7922.79,4239.92,3403.13
O00757;P09201;P09467,F16P1_HUMAN;F16P2_HUMAN;F16P_YEAST,FBP1;FBP2,"Fructose-1,6-bisphosphatase isozyme 2",1,0,,9374.99,4265.46
O00762,UBE2C_HUMAN,UBE2C,Ubiquitin-conjugating enzyme E2 C,1,1,26819.8,16160.3,18842.7
O00764,PDXK_HUMAN,PDXK,Pyridoxal kinase,6,6,260313,230432,245096
O00767,SCD_HUMAN,SCD,Stearoyl-CoA desaturase,3,3,280196,213555,184164
O13297,CET1_YEAST,CET1,mRNA-capping enzyme subunit beta,2,2,26952.2,43247.4,45649
O13329,FOB1_YEAST,FOB1,DNA replication fork-blocking protein FOB1,1,1,8266.79,8290.53,6649.95
O13539,THP2_YEAST,THP2,THO complex subunit THP2,2,2,14388.5,14843.7,14774.3
O13563,RPN13_YEAST,RPN13,26S proteasome regulatory subunit RPN13,3,3,27052.1,26335.1,25834.7
O13585,YP089_YEAST,YPR089W,Dilute domain-containing protein YPR089W,4,4,12239.1,15360.6,22490
O14455;P05745,RL36A_YEAST;RL36B_YEAST,RPL36A;RPL36B,Large ribosomal subunit protein eL36B,3,0,4.80E+06,3.53E+06,3.43E+06
O14467,MBF1_YEAST,MBF1,Multiprotein-bridging factor 1,6,6,1.25E+06,1.45E+06,1.59E+06
O14468,YO304_YEAST,YOR304C-A,Uncharacterized protein YOR304C-A,1,1,,4975.51,4387.7
O14497,ARI1A_HUMAN,ARID1A,AT-rich interactive domain-containing protein 1A,14,14,34476,38163.8,34950.4
O14521,DHSD_HUMAN,SDHD,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",1,1,,10638.9,
O14524,NEMP1_HUMAN,NEMP1,Nuclear envelope integral membrane protein 1,3,3,34743,59132.6,59682.2
O14530,TXND9_HUMAN,TXNDC9,Thioredoxin domain-containing protein 9,4,4,48121.9,52392.6,48587.1
O14545,TRAD1_HUMAN,TRAFD1,TRAF-type zinc finger domain-containing protein 1,4,4,20354.4,25350.3,24249.8
O14548,CO72L_HUMAN,COX7A2L,"Cytochrome c oxidase subunit 7A2-like, mitochondrial",3,3,129086,151850,158207
O14561,ACPM_HUMAN,NDUFAB1,"Acyl carrier protein, mitochondrial",3,3,51841.9,49549.7,47212
O14562,UBFD1_HUMAN,UBFD1,Ubiquitin domain-containing protein UBFD1,3,3,193030,156190,138389
O14578,CTRO_HUMAN,CIT,Citron Rho-interacting kinase,8,8,6900.35,8155.26,6067.63
O14579,COPE_HUMAN,COPE,Coatomer subunit epsilon,5,5,327873,293608,268123
O14593,RFXK_HUMAN,RFXANK,DNA-binding protein RFXANK,1,1,,,
O14613,BORG1_HUMAN,CDC42EP2,Cdc42 effector protein 2,1,1,,5909.78,5532.44
O14617,AP3D1_HUMAN,AP3D1,AP-3 complex subunit delta-1,21,21,76385.1,55964.6,56938.4
O14618,CCS_HUMAN,CCS,Copper chaperone for superoxide dismutase,2,2,65599.4,65583.8,63281.5
O14639,ABLM1_HUMAN,ABLIM1,Actin-binding LIM protein 1,5,5,26538.7,25001,20239.7
O14640;P54792,DVL1_HUMAN;DVLP1_HUMAN,DVL1;DVL1P1,Segment polarity protein dishevelled homolog DVL-1,2,0,2003.17,,2548.73
O14641,DVL2_HUMAN,DVL2,Segment polarity protein dishevelled homolog DVL-2,2,1,,,
O14646,CHD1_HUMAN,CHD1,Chromodomain-helicase-DNA-binding protein 1,8,7,32595.7,31051,28440.9
O14647,CHD2_HUMAN,CHD2,Chromodomain-helicase-DNA-binding protein 2,6,6,21822.5,16390.8,19037.5
O14653,GOSR2_HUMAN,GOSR2,Golgi SNAP receptor complex member 2,1,1,66927.1,45590.5,30671.2
O14656,TOR1A_HUMAN,TOR1A,Torsin-1A,6,6,92556.6,71425.7,67808.5
O14657,TOR1B_HUMAN,TOR1B,Torsin-1B,3,3,227550,233322,241325
O14662,STX16_HUMAN,STX16,Syntaxin-16,2,2,23531.4,25490.4,26522.8
O14672,ADA10_HUMAN,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,6,6,22545.5,26882.3,21994.1
O14678,ABCD4_HUMAN,ABCD4,Lysosomal cobalamin transporter ABCD4,1,1,673.431,,3737.9
O14681,EI24_HUMAN,EI24,Etoposide-induced protein 2.4 homolog,3,3,33509.5,16378.1,20556.5
O14715,RGPD8_HUMAN,RGPD8,RANBP2-like and GRIP domain-containing protein 8,1,1,,,
O14727,APAF_HUMAN,APAF1,Apoptotic protease-activating factor 1,7,7,49150.7,52606.6,45437.6
O14730,RIOK3_HUMAN,RIOK3,Serine/threonine-protein kinase RIO3,3,3,24164.5,28343.2,17877.6
O14732,IMPA2_HUMAN,IMPA2,Inositol monophosphatase 2,5,5,107615,99989.3,91057.6
O14733,MP2K7_HUMAN,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7,3,3,12286.4,13597.1,10154.6
O14734,ACOT8_HUMAN,ACOT8,Acyl-coenzyme A thioesterase 8,6,6,35813.6,38260,34848.5
O14735,CDIPT_HUMAN,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,3,3,14115.9,23014.4,20048
O14737,PDCD5_HUMAN,PDCD5,Programmed cell death protein 5,7,7,283357,238753,239398
O14744,ANM5_HUMAN,PRMT5,Protein arginine N-methyltransferase 5,5,5,36758.6,48954.6,36260.4
O14745,NHRF1_HUMAN,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,7,7,257846,301298,275522
O14757,CHK1_HUMAN,CHEK1,Serine/threonine-protein kinase Chk1,2,2,,,
O14763,TR10B_HUMAN,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,2,2,7318.08,5079.48,
O14772,FPGT_HUMAN,FPGT,Fucose-1-phosphate guanylyltransferase,3,3,7917.06,9080.92,9537.55
O14773,TPP1_HUMAN,TPP1,Tripeptidyl-peptidase 1,1,1,86196.6,92043.1,69310.5
O14776,TCRG1_HUMAN,TCERG1,Transcription elongation regulator 1,18,17,141145,127010,130430
O14777,NDC80_HUMAN,NDC80,Kinetochore protein NDC80 homolog,10,10,22241.3,21371,23865
O14786,NRP1_HUMAN,NRP1,Neuropilin-1,1,1,,11711,6027.55
O14787,TNPO2_HUMAN,TNPO2,Transportin-2,5,5,40588.3,34349.5,36681.7
O14795,UN13B_HUMAN,UNC13B,Protein unc-13 homolog B,4,3,3271.81,4942.02,4427.27
O14802,RPC1_HUMAN,POLR3A,DNA-directed RNA polymerase III subunit RPC1,13,13,29913.8,27094.8,21581
O14817,TSN4_HUMAN,TSPAN4,Tetraspanin-4,1,1,21790.4,30692.7,
O14818,PSA7_HUMAN,PSMA7,Proteasome subunit alpha type-7,5,4,83634.2,74214.4,67202.5
O14828,SCAM3_HUMAN,SCAMP3,Secretory carrier-associated membrane protein 3,3,3,235983,199953,202401
O14841,OPLA_HUMAN,OPLAH,5-oxoprolinase,1,1,,,
O14867,BACH1_HUMAN,BACH1,Transcription regulator protein BACH1,1,1,,5503.07,
O14874,BCKD_HUMAN,BCKDK,Branched-chain alpha-ketoacid dehydrogenase kinase,2,2,11098.7,8858.06,7361.79
O14880,MGST3_HUMAN,MGST3,"Glutathione S-transferase 3, mitochondrial",1,1,12081.1,10280.2,9023.17
O14893,GEMI2_HUMAN,GEMIN2,Gem-associated protein 2,3,3,56190.4,57121.9,59639
O14907,TX1B3_HUMAN,TAX1BP3,Tax1-binding protein 3,2,2,44549.7,27991.8,29597.5
O14908,GIPC1_HUMAN,GIPC1,PDZ domain-containing protein GIPC1,6,5,82675.9,77184.6,63418.9
O14920,IKKB_HUMAN,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,9,9,16316.4,20343.9,23012.1
O14925,TIM23_HUMAN,TIMM23,Mitochondrial import inner membrane translocase subunit Tim23,4,3,53168.8,38326.9,31976.3
O14929,HAT1_HUMAN,HAT1,Histone acetyltransferase type B catalytic subunit,4,4,254487,231796,203148
O14936,CSKP_HUMAN,CASK,Peripheral plasma membrane protein CASK,6,6,20788.1,23735.4,21293
O14949,QCR8_HUMAN,UQCRQ,Cytochrome b-c1 complex subunit 8,1,1,28809.1,38279.1,37696.3
O14950;P19105,ML12A_HUMAN;ML12B_HUMAN,MYL12A;MYL12B,Myosin regulatory light chain 12B,6,0,693591,579842,516194
O14957,QCR10_HUMAN,UQCR11,Cytochrome b-c1 complex subunit 10,1,1,7817.88,7590.74,4678.77
O14964,HGS_HUMAN,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,6,6,100039,118994,95611.8
O14965,AURKA_HUMAN,AURKA,Aurora kinase A,2,2,11414.2,12856.2,20364.7
O14967,CLGN_HUMAN,CLGN,Calmegin,1,1,179.115,257.657,
O14972,VP26C_HUMAN,VPS26C,Vacuolar protein sorting-associated protein 26C,2,2,,5532.51,9030.73
O14974,MYPT1_HUMAN,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,16,16,63966.8,69569.4,72792.5
O14975,S27A2_HUMAN,SLC27A2,Long-chain fatty acid transport protein 2,17,17,368174,357436,329511
O14976,GAK_HUMAN,GAK,Cyclin-G-associated kinase,10,10,17356.6,18457.7,18893.5
O14979,HNRDL_HUMAN,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,4,4,294215,243231,252663
O14980,XPO1_HUMAN,XPO1,Exportin-1,17,16,1.10E+06,971072,948860
O14981,BTAF1_HUMAN,BTAF1,TATA-binding protein-associated factor 172,15,15,33014.7,29628.1,34343.4
O15013,ARHGA_HUMAN,ARHGEF10,Rho guanine nucleotide exchange factor 10,7,7,8762.48,6695.38,8996.11
O15014,ZN609_HUMAN,ZNF609,Zinc finger protein 609,5,5,4458.15,6497.7,4917.25
O15015,ZN646_HUMAN,ZNF646,Zinc finger protein 646,2,2,3982.24,,1386.87
O15020,SPTN2_HUMAN,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",27,27,28533.4,27626.2,25182.8
O15027,SC16A_HUMAN,SEC16A,Protein transport protein Sec16A,20,20,110173,127471,125031
O15031,PLXB2_HUMAN,PLXNB2,Plexin-B2,11,11,66150.7,58252.2,58574.3
O15037,KHNYN_HUMAN,KHNYN,Protein KHNYN,2,2,755.891,,1518.89
O15042,SR140_HUMAN,U2SURP,U2 snRNP-associated SURP motif-containing protein,9,9,155028,159541,136043
O15047,SET1A_HUMAN,SETD1A,Histone-lysine N-methyltransferase SETD1A,7,7,7638.82,8859.72,8286.13
O15056,SYNJ2_HUMAN,SYNJ2,Synaptojanin-2,3,3,3651.26,4246.46,4051.11
O15061,SYNEM_HUMAN,SYNM,Synemin,7,7,8905.19,9165.52,10638.5
