Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_1,HYEA_2,HYEA_3
P61421,VA0D1_HUMAN,ATP6V0D1,V-type proton ATPase subunit d 1,6,6,79588.8,75391.4,83915.6
P61513,RL37A_HUMAN,RPL37A,Large ribosomal subunit protein eL43,4,3,68404.9,74920.1,76004.9
P61567;P61570;P63135;Q69384;Q902F8,ENK25_HUMAN;ENK6_HUMAN;ENK7_HUMAN;ENK8_HUMAN;POK7_HUMAN,ERVK-25;ERVK-6;ERVK-7;ERVK-8,Endogenous retrovirus group K member 7 Env polyprotein,1,0,,,
P61586,RHOA_HUMAN,RHOA,Transforming protein RhoA,1,1,193375,157307,163674
P61587,RND3_HUMAN,RND3,Rho-related GTP-binding protein RhoE,4,4,7901.94,6874.6,6310.5
P61599,NAA20_HUMAN,NAA20,N-alpha-acetyltransferase 20,3,3,32837.6,39632.5,36843.2
P61604,CH10_HUMAN,HSPE1,"10 kDa heat shock protein, mitochondrial",3,3,3.89E+06,3.83E+06,4.55E+06
P61619,S61A1_HUMAN,SEC61A1,Protein transport protein Sec61 subunit alpha isoform 1,5,5,508680,583582,622216
P61758,PFD3_HUMAN,VBP1,Prefoldin subunit 3,6,6,320087,278845,226312
P61764,STXB1_HUMAN,STXBP1,Syntaxin-binding protein 1,7,7,45445.9,46511.9,47464.2
P61803,DAD1_HUMAN,DAD1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,4,4,243002,213599,205176
P61916,NPC2_HUMAN,NPC2,NPC intracellular cholesterol transporter 2,2,2,140198,120880,105614
P61923,COPZ1_HUMAN,COPZ1,Coatomer subunit zeta-1,3,3,222671,215607,200648
P61927,RL37_HUMAN,RPL37,Large ribosomal subunit protein eL37,1,1,481561,524718,573658
P61960,UFM1_HUMAN,UFM1,Ubiquitin-fold modifier 1,1,1,79821,81649.4,87936.2
P61962,DCAF7_HUMAN,DCAF7,DDB1- and CUL4-associated factor 7,3,3,63548.4,64473.1,69966.3
P61964,WDR5_HUMAN,WDR5,WD repeat-containing protein 5,10,10,244766,245561,232856
P61970,NTF2_HUMAN,NUTF2,Nuclear transport factor 2,2,2,65926.1,51097.7,42853.7
P61978,HNRPK_HUMAN,HNRNPK,Heterogeneous nuclear ribonucleoprotein K,12,12,2.62E+06,3.16E+06,2.88E+06
P61981,1433G_HUMAN,YWHAG,14-3-3 protein gamma,4,4,48330.2,51791.4,47387.3
P62070,RRAS2_HUMAN,RRAS2,Ras-related protein R-Ras2,2,2,35450.6,46448.7,46138.2
P62072,TIM10_HUMAN,TIMM10,Mitochondrial import inner membrane translocase subunit Tim10,4,4,143710,163250,164251
P62081,RS7_HUMAN,RPS7,Small ribosomal subunit protein eS7,4,4,78832.2,113919,112574
