Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114
Q01105,SET_HUMAN,SET,Protein SET,4,1,4.16E+06,5.22E+06,4.52E+06,4.90E+06
Q01130,SRSF2_HUMAN,SRSF2,Serine/arginine-rich splicing factor 2,2,1,67309.1,97400.1,87520.8,104063
Q01167,FOXK2_HUMAN,FOXK2,Forkhead box protein K2,1,1,7109.9,8182.81,7883.62,
Q01329,PTA1_YEAST,PTA1,Pre-tRNA-processing protein PTA1,1,1,,,,
Q01389,BCK1_YEAST,BCK1,Serine/threonine-protein kinase BCK1/SLK1/SSP31,1,1,,,,
Q01415,GALK2_HUMAN,GALK2,N-acetylgalactosamine kinase,1,1,,29078.4,26305.8,
Q01433,AMPD2_HUMAN,AMPD2,AMP deaminase 2,6,6,41070,44972.2,26481.1,44583.9
Q01469,FABP5_HUMAN,FABP5,Fatty acid-binding protein 5,3,3,269579,293176,245396,293136
Q01476,UBP2_YEAST,UBP2,Ubiquitin carboxyl-terminal hydrolase 2,4,4,15586.8,25306.6,28228.2,22706.8
Q01477,UBP3_YEAST,UBP3,Ubiquitin carboxyl-terminal hydrolase 3,4,4,17374.7,29946.8,30867.6,33827.2
Q01518,CAP1_HUMAN,CAP1,Adenylyl cyclase-associated protein 1,8,8,643132,915426,826706,740355
Q01519,COX12_YEAST,COX12,"Cytochrome c oxidase subunit 12, mitochondrial",1,1,,,,
Q01532,BLH1_YEAST,LAP3,"Cysteine proteinase 1, mitochondrial",3,3,64403.3,88803.6,78650,87064.9
Q01560,NOP3_YEAST,NPL3,Serine/arginine (SR)-type shuttling mRNA binding protein NPL3,4,4,278195,289876,275512,313137
Q01574,ACS1_YEAST,ACS1,Acetyl-coenzyme A synthetase 1,4,4,3292.52,,,
Q01581,HMCS1_HUMAN,HMGCS1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",3,3,,18521.7,11380.7,18805
Q01590,SED5_YEAST,SED5,Integral membrane protein SED5,1,1,,1358.98,,
Q01628,IFM3_HUMAN,IFITM3,Interferon-induced transmembrane protein 3,1,0,422933,496934,408558,499898
Q01650,LAT1_HUMAN,SLC7A5,Large neutral amino acids transporter small subunit 1,2,2,702871,566538,729216,954417
Q01658,NC2B_HUMAN,DR1,Protein Dr1,1,1,38006.4,,26138.2,45651.6
Q01662,MAP1_YEAST,MAP1,Methionine aminopeptidase 1,2,2,115897,122867,126550,100635
Q01664,TFAP4_HUMAN,TFAP4,Transcription factor AP-4,1,1,,9812.17,,4869.41
Q01780,EXOSX_HUMAN,EXOSC10,Exosome complex component 10,6,6,112868,121551,97346.3,131593
Q01804,OTUD4_HUMAN,OTUD4,OTU domain-containing protein 4,1,1,,,,
Q01813,PFKAP_HUMAN,PFKP,"ATP-dependent 6-phosphofructokinase, platelet type",8,8,403960,473826,397059,467172
Q01831,XPC_HUMAN,XPC,DNA repair protein complementing XP-C cells,3,3,10522.5,2324.44,9629.07,6781.56
Q01844,EWS_HUMAN,EWSR1,RNA-binding protein EWS,2,2,566284,643373,639179,686139
Q01852,TIM44_YEAST,TIM44,Mitochondrial import inner membrane translocase subunit TIM44,5,5,166629,137140,117843,168182
Q01855,RS15_YEAST,RPS15,Small ribosomal subunit protein uS19,2,2,1.90E+06,2.57E+06,2.03E+06,2.32E+06
Q01896;Q12691,ATN2_YEAST;ATN5_YEAST,ENA2;ENA5,Sodium/potassium exporting P-type ATPase 2,1,0,,,,95241.6
Q01939,PRS8_YEAST,RPT6,26S proteasome regulatory subunit 8 homolog,3,3,34313.5,42096.2,28680.7,41403.3
Q01968,OCRL_HUMAN,OCRL,Inositol polyphosphate 5-phosphatase OCRL,7,7,28813.1,31784.4,32683.6,35580.3
Q01970,PLCB3_HUMAN,PLCB3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",10,10,60155.3,52437.1,66043.6,66742.4
Q01976,ADPP_YEAST,YSA1,ADP-ribose pyrophosphatase,2,2,83908.3,101172,87060.7,105768
Q02040,AK17A_HUMAN,AKAP17A,A-kinase anchor protein 17A,3,3,9078.6,12094.8,13682.6,12927.6
Q02046,MTD1_YEAST,MTD1,Methylenetetrahydrofolate dehydrogenase [NAD(+)],2,2,43868.8,38280.6,43862.6,56643.6
Q02083,NAAA_HUMAN,NAAA,N-acylethanolamine-hydrolyzing acid amidase,1,1,,,,
Q02127,PYRD_HUMAN,DHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial",3,3,22659.9,27534.9,30606.7,30073.9
Q02159,UBC7_YEAST,UBC7,Ubiquitin-conjugating enzyme E2 7,2,2,36502.4,44423.8,39399.1,40715.7
Q02196,KAPS_YEAST,MET14,Adenylyl-sulfate kinase,1,1,29373.9,,34843.4,23388
Q02199,NUP49_YEAST,NUP49,Nucleoporin NUP49/NSP49,1,1,,,8036.86,4746.47
Q02218,ODO1_HUMAN,OGDH,2-oxoglutarate dehydrogenase complex component E1,9,5,46992.5,56558,57467.1,48304.9
Q02241,KIF23_HUMAN,KIF23,Kinesin-like protein KIF23,7,7,18034.6,20733.1,17890.2,28143.3
Q02252,MMSA_HUMAN,ALDH6A1,"Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial",9,9,61286.4,68028.2,57793.8,64110.3
Q02326,RL6A_YEAST,RPL6A,Large ribosomal subunit protein eL6A,1,1,544714,553956,569559,585493
Q02388,CO7A1_HUMAN,COL7A1,Collagen alpha-1(VII) chain,7,7,8683.53,8385.29,10648.5,7800.13
Q02455,MLP1_YEAST,MLP1,Protein MLP1,6,6,25897.9,24622.7,30701.3,16311.1
Q02457,TBF1_YEAST,TBF1,Protein TBF1,2,2,,,,
Q02486,ABF2_YEAST,ABF2,"ARS-binding factor 2, mitochondrial",2,2,103503,121416,115642,162830
Q02543,RL18A_HUMAN,RPL18A,Large ribosomal subunit protein eL20,2,2,1.72E+06,1.88E+06,1.78E+06,1.95E+06
Q02630,NU116_YEAST,NUP116,Nucleoporin NUP116/NSP116,1,1,,,,
Q02725,VTC3_YEAST,VTC3,Vacuolar transporter chaperone 3 complex subunit 3,9,9,200457,227030,208386,215919
Q02750,MP2K1_HUMAN,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,3,3,332755,334607,378176,296201
Q02774,SHR3_YEAST,SHR3,Secretory component protein SHR3,1,1,19382.8,12398.6,12727.8,28513.1
Q02776,TIM50_YEAST,TIM50,Mitochondrial import inner membrane translocase subunit TIM50,3,3,56716.2,48480.9,41925.4,58750.6
Q02784,GLRX5_YEAST,GRX5,"Monothiol glutaredoxin-5, mitochondrial",1,1,,4575.53,3094.68,
Q02790,FKBP4_HUMAN,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4,12,12,759455,896366,752240,920862
Q02793,SKI8_YEAST,SKI8,Antiviral protein SKI8,1,1,77301.1,,87244.9,111496
Q02795,OSTD_YEAST,SWP1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit SWP1,2,2,119103,131782,138868,142581
Q02809,PLOD1_HUMAN,PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",7,7,181820,206966,204831,217784
Q02818,NUCB1_HUMAN,NUCB1,Nucleobindin-1,6,6,138777,142771,132788,149437
Q02821,IMA1_YEAST,SRP1,Importin subunit alpha,3,3,38301.2,36521.5,,47697.8
Q02875,SYH1_YEAST,SYH1,SMY2 homolog 2,2,2,,,,
Q02878,RL6_HUMAN,RPL6,Large ribosomal subunit protein eL6,9,9,2.32E+06,2.49E+06,2.37E+06,2.52E+06
Q02880,TOP2B_HUMAN,TOP2B,DNA topoisomerase 2-beta,6,6,68179.9,89241.9,80197.2,85364.4
Q02892,NOG1_YEAST,NOG1,Nucleolar GTP-binding protein 1,3,3,12141.3,12123.9,5555.82,11178.6
