Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114
A0A024R1R8;Q9Y2S6,TMA7B_HUMAN;TMA7_HUMAN,TMA7;TMA7B,Translation machinery-associated protein 7B,1,0,439060,474540,377494,325221
A0A075B6W5,TVA23_HUMAN,TRAV23DV6,T cell receptor alpha variable 23/delta variable 6,1,1,,183603,,
A0A0B4J2F0,PIOS1_HUMAN,PIGBOS1,Protein PIGBOS1,1,1,88513.6,85505.4,90085,96767.4
A0A3B3IU46;Q9BTL3,RAMAC_HUMAN;RMACL_HUMAN,RAMAC;RAMACL,RNA guanine-N7 methyltransferase-activating subunit-like protein,1,0,25909.1,31534,32982.8,27467.8
A0A8I5KQE6;P08865,RPSA2_HUMAN;RSSA_HUMAN,RPSA;RPSA2,Small ribosomal subunit protein uS2B,5,0,2.81E+06,2.88E+06,2.69E+06,3.09E+06
A0AV96,RBM47_HUMAN,RBM47,RNA-binding protein 47,3,3,3460.77,5969.91,5028.29,3035.02
A0AVT1,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,14,14,80764.7,95739,94558.1,93944.2
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,5,5,101723,97650.7,88844,91655.2
A0MZ66,SHOT1_HUMAN,SHTN1,Shootin-1,12,12,43280.6,49412.8,59206.7,45618.9
A0PJW6,TM223_HUMAN,TMEM223,Transmembrane protein 223,2,2,,,,
A1A4S6,RHG10_HUMAN,ARHGAP10,Rho GTPase-activating protein 10,1,1,,,,
A1L0T0,HACL2_HUMAN,ILVBL,2-hydroxyacyl-CoA lyase 2,3,3,25776.9,38664,14957.3,27425.2
A1X283,SPD2B_HUMAN,SH3PXD2B,SH3 and PX domain-containing protein 2B,1,1,,,,
A2RRP1,NBAS_HUMAN,NBAS,NBAS subunit of NRZ tethering complex,6,6,,3107.96,2557.86,
A2RUC4,TYW5_HUMAN,TYW5,tRNA wybutosine-synthesizing protein 5,1,1,,,,
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,11,11,33714.9,47181.1,48713.8,48421.3
A3KN83,SBNO1_HUMAN,SBNO1,Protein strawberry notch homolog 1,3,2,3647.36,,2021.58,1609.3
A4D1E9,GTPBA_HUMAN,GTPBP10,GTP-binding protein 10,5,5,,34736.5,28558.7,28262.2
A4D1P6,WDR91_HUMAN,WDR91,WD repeat-containing protein 91,2,2,,,2843.87,
A4FU01,MTMRB_HUMAN,MTMR11,Myotubularin-related protein 11,1,1,106590,,,
A5YKK6,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,22,22,92501.6,112506,107950,96877.3
A6NCE7;Q9GZQ8,MLP3B_HUMAN;MP3B2_HUMAN,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,1,0,,,,
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,5,5,72979,107642,74638.7,77247.1
A6NDU8,RIMC1_HUMAN,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,2,2,5661.41,,7084.95,6179.78
A6NED2,RCCD1_HUMAN,RCCD1,RCC1 domain-containing protein 1,2,2,12454.7,9510.4,7160.69,9638.2
A6NHG4;P30046,DDTL_HUMAN;DOPD_HUMAN,DDT;DDTL,D-dopachrome decarboxylase-like protein,1,0,170136,297668,252588,
A6NHR9,SMHD1_HUMAN,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,18,18,43996,53376.7,55411.1,48448.1
A6NIH7,U119B_HUMAN,UNC119B,Protein unc-119 homolog B,3,3,13339.3,9526.17,13357.2,10136.3
A6NKB5,PCX2_HUMAN,PCNX2,Pecanex-like protein 2,1,1,160221,61785.7,169575,118807
A6NKF1,SAC31_HUMAN,SAC3D1,SAC3 domain-containing protein 1,2,2,14311.7,18254,,24460.2
A8MWD9;P62308,RUXGL_HUMAN;RUXG_HUMAN,SNRPG;SNRPGP15,Putative small nuclear ribonucleoprotein G-like protein 15,1,0,,,,
A8MXV4,NUD19_HUMAN,NUDT19,Acyl-coenzyme A diphosphatase NUDT19,2,2,26652.3,,19665.5,14714.5
A9QM74,IMA8_HUMAN,KPNA7,Importin subunit alpha-8,1,1,,16196.3,9823.46,
A9UHW6,MI4GD_HUMAN,MIF4GD,MIF4G domain-containing protein,1,1,,,,
B0I1T2,MYO1G_HUMAN,MYO1G,Unconventional myosin-Ig,8,7,129944,170828,151057,156014
B5ME19;Q99613,EIF3C_HUMAN;EIFCL_HUMAN,EIF3C;EIF3CL,Eukaryotic translation initiation factor 3 subunit C-like protein,13,0,303525,359994,316246,357334
B7ZAQ6;P0CG08,GPHRA_HUMAN;GPHRB_HUMAN,GPR89A;GPR89B,Golgi pH regulator A,3,0,15709.2,,20178.4,13719.6
B7ZW38;O60812;P0DMR1,HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN,HNRNPCL1;HNRNPCL3;HNRNPCL4,Heterogeneous nuclear ribonucleoprotein C-like 3,1,0,134188,160492,110822,154016
C9J7I0,UMAD1_HUMAN,UMAD1,UBAP1-MVB12-associated (UMA)-domain containing protein 1,1,1,,,906.475,
E9PAV3;Q13765,NACAM_HUMAN;NACA_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",3,2,978242,1.11E+06,1.02E+06,1.10E+06
E9PRG8,CK098_HUMAN,C11orf98,Uncharacterized protein C11orf98,1,1,187609,229353,198048,207519
L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,1,1,51722.3,86092.1,62775.5,66067.9
L0R819,ASURF_HUMAN,ASDURF,ASNSD1 upstream open reading frame protein,2,2,35635,27321.3,37446.6,31350.7
O00115,DNS2A_HUMAN,DNASE2,Deoxyribonuclease-2-alpha,2,2,168219,198969,139176,203144
O00116,ADAS_HUMAN,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",9,9,151110,177181,133043,156740
O00139,KIF2A_HUMAN,KIF2A,Kinesin-like protein KIF2A,8,7,52384.5,79360.2,74809.4,66827.8
O00141,SGK1_HUMAN,SGK1,Serine/threonine-protein kinase Sgk1,1,1,,,,
O00142,KITM_HUMAN,TK2,"Thymidine kinase 2, mitochondrial",2,2,5910.24,7011.58,12084.1,
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,4,4,,182694,174181,241073
O00154,BACH_HUMAN,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,5,5,224107,276733,218030,252048
O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,8,8,103837,134518,105249,115765
O00161,SNP23_HUMAN,SNAP23,Synaptosomal-associated protein 23,4,4,76029.8,75670.5,76822,86113
O00165,HAX1_HUMAN,HAX1,HCLS1-associated protein X-1,1,1,67961.8,64077.1,61867.8,69411.2
O00170,AIP_HUMAN,AIP,AH receptor-interacting protein,3,3,216810,243675,216331,213914
O00178,GTPB1_HUMAN,GTPBP1,GTP-binding protein 1,5,5,32102.6,29950.9,24901.8,41510.7
O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,7,7,37645.9,48534.9,40962.9,57862.2
O00194,RB27B_HUMAN,RAB27B,Ras-related protein Rab-27B,2,2,,13677.4,6002.81,17466.3
O00203,AP3B1_HUMAN,AP3B1,AP-3 complex subunit beta-1,8,7,65318.6,86638.6,54212.2,72037.4
O00217,NDUS8_HUMAN,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",2,2,73701.6,69584,42385.8,80487.6
O00231,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,10,10,305490,388010,359094,365092
O00232,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,7,7,326456,403335,321020,336210
O00233,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,3,3,168375,195834,151150,196340
O00255,MEN1_HUMAN,MEN1,Menin,2,2,4838.63,,3734,
O00257,CBX4_HUMAN,CBX4,E3 SUMO-protein ligase CBX4,1,1,,1766.58,,1793.79
O00264,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,3,3,75819.3,95166.3,81106.9,112511
O00267,SPT5H_HUMAN,SUPT5H,Transcription elongation factor SPT5,11,11,120279,138943,128734,104185
O00268,TAF4_HUMAN,TAF4,Transcription initiation factor TFIID subunit 4,4,4,2526.46,3713.95,4889.22,2444.87
O00273,DFFA_HUMAN,DFFA,DNA fragmentation factor subunit alpha,3,3,11356.6,9960.05,,21119
O00291,HIP1_HUMAN,HIP1,Huntingtin-interacting protein 1,7,7,6537.84,7202.88,,4926.73
O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,6,6,1.73E+06,1.91E+06,1.87E+06,2.12E+06
O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,5,5,792239,972844,855393,914114
O00330,ODPX_HUMAN,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",3,3,31225.3,38574.2,30353,28043.8
O00391,QSOX1_HUMAN,QSOX1,Sulfhydryl oxidase 1,1,1,43635.3,49214,63016.4,58162.7
O00399,DCTN6_HUMAN,DCTN6,Dynactin subunit 6,2,2,,8980.06,,9976.55
O00400,ACATN_HUMAN,SLC33A1,Acetyl-coenzyme A transporter 1,2,2,69008.5,86717.8,94250.6,67237.8
O00401,WASL_HUMAN,WASL,Actin nucleation-promoting factor WASL,3,3,37412.1,43686.6,27241.9,48708.5
O00410,IPO5_HUMAN,IPO5,Importin-5,9,7,640770,701909,640718,641582
O00411,RPOM_HUMAN,POLRMT,"DNA-directed RNA polymerase, mitochondrial",2,2,,10319.8,10423.9,
O00418,EF2K_HUMAN,EEF2K,Eukaryotic elongation factor 2 kinase,3,3,6832.56,6993.01,7062.47,7749.01
O00422,SAP18_HUMAN,SAP18,Histone deacetylase complex subunit SAP18,1,1,102129,,88872.4,138616
O00423,EMAL1_HUMAN,EML1,Echinoderm microtubule-associated protein-like 1,1,1,,,,
O00425,IF2B3_HUMAN,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,6,5,239917,264023,251979,288367
O00429,DNM1L_HUMAN,DNM1L,Dynamin-1-like protein,10,10,145739,178056,154007,144892
O00442,RTCA_HUMAN,RTCA,RNA 3'-terminal phosphate cyclase,1,1,,10269.8,8447.1,
O00443,P3C2A_HUMAN,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,9,9,8132.06,9242.48,6081.71,8105.77
O00458,IFRD1_HUMAN,IFRD1,Interferon-related developmental regulator 1,4,4,23328.4,26334.6,30736,24954
O00459,P85B_HUMAN,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,2,1,728.316,1209.51,,
O00461,GOLI4_HUMAN,GOLIM4,Golgi integral membrane protein 4,4,4,33268,44793,38892.2,34223.7
O00462,MANBA_HUMAN,MANBA,Beta-mannosidase,1,1,,,6491.61,
O00468,AGRIN_HUMAN,AGRN,Agrin,7,7,41018.9,51197.8,59822.6,53425.8
O00469,PLOD2_HUMAN,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",4,4,10336.3,6047.58,8328.12,8949.08
O00471,EXOC5_HUMAN,EXOC5,Exocyst complex component 5,7,7,40074.9,50173.2,27987.4,40584.5
O00483,NDUA4_HUMAN,NDUFA4,Cytochrome c oxidase subunit NDUFA4,2,2,666510,667449,610952,685710
O00487,PSDE_HUMAN,PSMD14,26S proteasome non-ATPase regulatory subunit 14,3,3,251766,327305,271446,257933
O00488,ZN593_HUMAN,ZNF593,Zinc finger protein 593,1,1,,,,
O00499,BIN1_HUMAN,BIN1,Myc box-dependent-interacting protein 1,2,2,,8955.67,5967.01,
O00534,VMA5A_HUMAN,VWA5A,von Willebrand factor A domain-containing protein 5A,7,7,33479.5,35544,37164.1,35497.9
O00541,PESC_HUMAN,PES1,Pescadillo homolog,4,4,168650,144979,174218,123018
O00560,SDCB1_HUMAN,SDCBP,Syntenin-1,1,1,67408.5,61113.2,51038,36937.7
O00562,PITM1_HUMAN,PITPNM1,Membrane-associated phosphatidylinositol transfer protein 1,1,1,,,,
O00566,MPP10_HUMAN,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10,2,2,4869.41,,,6591.85
O00567,NOP56_HUMAN,NOP56,Nucleolar protein 56,11,11,505706,619764,548735,629477
O00571,DDX3X_HUMAN,DDX3X,ATP-dependent RNA helicase DDX3X,11,5,251361,426792,313673,279048
O00584,RNT2_HUMAN,RNASET2,Ribonuclease T2,1,1,,6853.4,,
O00592,PODXL_HUMAN,PODXL,Podocalyxin,7,7,484010,519419,517450,616444
O00625,PIR_HUMAN,PIR,Pirin,2,2,106608,133116,97556.2,117226
O00629,IMA3_HUMAN,KPNA4,Importin subunit alpha-3,3,1,127157,178323,149877,192537
O00635,TRI38_HUMAN,TRIM38,E3 ubiquitin-protein ligase TRIM38,1,1,,,5377.02,
O00712,NFIB_HUMAN,NFIB,Nuclear factor 1 B-type,3,2,55738.1,90646.3,97666.1,87820.6
O00743,PPP6_HUMAN,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,4,4,166543,207267,216046,196511
O00754,MA2B1_HUMAN,MAN2B1,Lysosomal alpha-mannosidase,1,1,,6096.13,4883.33,
O00762,UBE2C_HUMAN,UBE2C,Ubiquitin-conjugating enzyme E2 C,1,1,27948.4,31928,30889.8,
O00764,PDXK_HUMAN,PDXK,Pyridoxal kinase,3,3,382819,379749,396336,396674
O00767,SCD_HUMAN,SCD,Stearoyl-CoA desaturase,3,3,872964,914615,957348,1.04E+06
O13539,THP2_YEAST,THP2,THO complex subunit THP2,1,1,,,,
O13563,RPN13_YEAST,RPN13,26S proteasome regulatory subunit RPN13,2,2,32290.2,23772.8,29171.4,32868.3
O13585,YP089_YEAST,YPR089W,Dilute domain-containing protein YPR089W,3,3,,,,
O14455;P05745,RL36A_YEAST;RL36B_YEAST,RPL36A;RPL36B,Large ribosomal subunit protein eL36B,3,0,2.65E+06,3.30E+06,3.04E+06,3.34E+06
O14467,MBF1_YEAST,MBF1,Multiprotein-bridging factor 1,3,3,525218,616154,561665,684515
O14497,ARI1A_HUMAN,ARID1A,AT-rich interactive domain-containing protein 1A,4,4,,,6619.27,
O14524,NEMP1_HUMAN,NEMP1,Nuclear envelope integral membrane protein 1,1,1,24468.8,17865.2,14207.2,22809
O14530,TXND9_HUMAN,TXNDC9,Thioredoxin domain-containing protein 9,3,3,33611.9,43164.2,39955.2,49408.2
O14545,TRAD1_HUMAN,TRAFD1,TRAF-type zinc finger domain-containing protein 1,1,1,,,,
O14548,CO72L_HUMAN,COX7A2L,"Cytochrome c oxidase subunit 7A2-like, mitochondrial",3,3,121205,110355,97882.3,125664
O14561,ACPM_HUMAN,NDUFAB1,"Acyl carrier protein, mitochondrial",1,1,,33242,18716,14558.3
O14562,UBFD1_HUMAN,UBFD1,Ubiquitin domain-containing protein UBFD1,3,3,148605,126492,115842,157781
O14578,CTRO_HUMAN,CIT,Citron Rho-interacting kinase,6,6,9042.53,,,
O14579,COPE_HUMAN,COPE,Coatomer subunit epsilon,4,4,304503,367604,311040,317246
O14617,AP3D1_HUMAN,AP3D1,AP-3 complex subunit delta-1,13,13,97535.4,101298,95951.5,95373.5
O14618,CCS_HUMAN,CCS,Copper chaperone for superoxide dismutase,2,2,85961.5,109029,80316.8,91879.3
O14639,ABLM1_HUMAN,ABLIM1,Actin-binding LIM protein 1,4,4,54433.3,57669.6,50140.1,64061.6
O14641,DVL2_HUMAN,DVL2,Segment polarity protein dishevelled homolog DVL-2,2,1,1822.24,,1505.63,1119.6
O14646,CHD1_HUMAN,CHD1,Chromodomain-helicase-DNA-binding protein 1,4,3,17163.1,30578.2,30109.1,27648.4
O14647,CHD2_HUMAN,CHD2,Chromodomain-helicase-DNA-binding protein 2,3,3,8026.46,5851.3,4487.24,
O14653,GOSR2_HUMAN,GOSR2,Golgi SNAP receptor complex member 2,1,1,16154.9,54147.2,33286.7,47989.1
O14656,TOR1A_HUMAN,TOR1A,Torsin-1A,3,3,106106,160954,86929.4,131850
O14657,TOR1B_HUMAN,TOR1B,Torsin-1B,3,3,112600,138908,134174,170184
O14662,STX16_HUMAN,STX16,Syntaxin-16,1,1,6744.05,10449,10778.4,9017.11
O14672,ADA10_HUMAN,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,5,5,2866.77,4689.65,2578.97,2057.6
O14681,EI24_HUMAN,EI24,Etoposide-induced protein 2.4 homolog,3,3,14890.8,22802.6,29913.3,28242.2
O14686,KMT2D_HUMAN,KMT2D,Histone-lysine N-methyltransferase 2D,1,1,,,,
O14715,RGPD8_HUMAN,RGPD8,RANBP2-like and GRIP domain-containing protein 8,1,0,,,,
O14727,APAF_HUMAN,APAF1,Apoptotic protease-activating factor 1,1,1,,,,
O14730,RIOK3_HUMAN,RIOK3,Serine/threonine-protein kinase RIO3,2,2,,8107.79,5499.36,
O14732,IMPA2_HUMAN,IMPA2,Inositol monophosphatase 2,2,2,169375,192013,157954,163603
O14733,MP2K7_HUMAN,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7,1,1,11117,14675.4,,
O14734,ACOT8_HUMAN,ACOT8,Acyl-coenzyme A thioesterase 8,3,3,37553.9,21944,32788.6,56543.2
O14735,CDIPT_HUMAN,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,1,1,,,24778.3,
O14737,PDCD5_HUMAN,PDCD5,Programmed cell death protein 5,4,4,160642,234484,204310,198333
O14744,ANM5_HUMAN,PRMT5,Protein arginine N-methyltransferase 5,3,3,36834.4,54968.5,41584.5,60313.1
O14745,NHRF1_HUMAN,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,6,6,157364,199058,192902,196192
O14757,CHK1_HUMAN,CHEK1,Serine/threonine-protein kinase Chk1,2,2,,,1279.47,3409.83
O14763,TR10B_HUMAN,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,1,1,8502.86,9734.22,7603.63,
O14772,FPGT_HUMAN,FPGT,Fucose-1-phosphate guanylyltransferase,2,2,,,5102.4,11691.5
O14776,TCRG1_HUMAN,TCERG1,Transcription elongation regulator 1,11,10,109593,125275,99588.6,135086
O14777,NDC80_HUMAN,NDC80,Kinetochore protein NDC80 homolog,9,9,8594.55,8732.32,8084.94,11730.5
O14787,TNPO2_HUMAN,TNPO2,Transportin-2,2,2,,3890.54,,3529.33
O14802,RPC1_HUMAN,POLR3A,DNA-directed RNA polymerase III subunit RPC1,10,10,26022.1,18697,32908.4,32180.1
O14818,PSA7_HUMAN,PSMA7,Proteasome subunit alpha type-7,3,2,267100,451417,306859,370266
O14828,SCAM3_HUMAN,SCAMP3,Secretory carrier-associated membrane protein 3,2,2,197564,204365,209310,228792
O14893,GEMI2_HUMAN,GEMIN2,Gem-associated protein 2,2,2,18370.8,9223.92,10092.7,14007
O14908,GIPC1_HUMAN,GIPC1,PDZ domain-containing protein GIPC1,3,3,66553.2,69782.3,64838.8,80527.4
O14920,IKKB_HUMAN,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,4,4,7135.41,5796.87,,
O14925,TIM23_HUMAN,TIMM23,Mitochondrial import inner membrane translocase subunit Tim23,2,2,39577.1,57404.6,50146.1,46624.8
O14929,HAT1_HUMAN,HAT1,Histone acetyltransferase type B catalytic subunit,4,4,129518,132813,152322,148370
O14936,CSKP_HUMAN,CASK,Peripheral plasma membrane protein CASK,3,3,,18215.4,14756.8,13663.2
O14950;P19105,ML12A_HUMAN;ML12B_HUMAN,MYL12A;MYL12B,Myosin regulatory light chain 12B,2,0,756634,898177,836202,895004
O14964,HGS_HUMAN,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,5,5,61939.4,70400.2,61393.8,63183.9
O14967,CLGN_HUMAN,CLGN,Calmegin,2,2,,,8346.49,
O14974,MYPT1_HUMAN,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,8,8,62753.6,65666.7,67800.8,68049.4
O14975,S27A2_HUMAN,SLC27A2,Long-chain fatty acid transport protein 2,11,11,475009,547409,529237,470904
O14976,GAK_HUMAN,GAK,Cyclin-G-associated kinase,7,7,8024.05,11420.6,10508.6,8495.78
O14979,HNRDL_HUMAN,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,4,3,49174.3,77466,62379.5,53951.5
O14980,XPO1_HUMAN,XPO1,Exportin-1,8,7,728658,810310,784272,798559
O14981,BTAF1_HUMAN,BTAF1,TATA-binding protein-associated factor 172,8,8,8647.86,12206,14098.9,14353.7
O15013,ARHGA_HUMAN,ARHGEF10,Rho guanine nucleotide exchange factor 10,2,2,,,,1163.32
O15014,ZN609_HUMAN,ZNF609,Zinc finger protein 609,1,1,,,,
O15020,SPTN2_HUMAN,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",15,15,17436.6,22114.1,15698.5,18330
O15027,SC16A_HUMAN,SEC16A,Protein transport protein Sec16A,14,14,70723.3,82763.8,80907.7,99008.8
O15031,PLXB2_HUMAN,PLXNB2,Plexin-B2,8,8,25052.8,30696.8,30826.2,22674.2
O15042,SR140_HUMAN,U2SURP,U2 snRNP-associated SURP motif-containing protein,5,5,72559.2,102010,75400.3,74776.2
O15047,SET1A_HUMAN,SETD1A,Histone-lysine N-methyltransferase SETD1A,3,3,,,2017.22,
O15066,KIF3B_HUMAN,KIF3B,Kinesin-like protein KIF3B,1,0,,,,
O15067,PUR4_HUMAN,PFAS,Phosphoribosylformylglycinamidine synthase,14,14,270639,311330,295275,275533
O15083,ERC2_HUMAN,ERC2,ERC protein 2,1,1,,,,
O15084,ANR28_HUMAN,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,1,1,,,1945.47,
O15085,ARHGB_HUMAN,ARHGEF11,Rho guanine nucleotide exchange factor 11,1,1,,,,
O15111,IKKA_HUMAN,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,2,2,,,22946.2,
O15118,NPC1_HUMAN,NPC1,NPC intracellular cholesterol transporter 1,4,4,24409.9,18266.4,30203.5,22054.2
O15119,TBX3_HUMAN,TBX3,T-box transcription factor TBX3,1,1,,756.58,,
O15120,PLCB_HUMAN,AGPAT2,1-acyl-sn-glycerol-3-phosphate acyltransferase beta,1,1,,183187,,
O15126,SCAM1_HUMAN,SCAMP1,Secretory carrier-associated membrane protein 1,3,3,4407.26,,,5325.95
O15127,SCAM2_HUMAN,SCAMP2,Secretory carrier-associated membrane protein 2,2,2,,29762.2,,29349.4
O15143,ARC1B_HUMAN,ARPC1B,Actin-related protein 2/3 complex subunit 1B,2,2,413614,333429,417738,429997
O15144,ARPC2_HUMAN,ARPC2,Actin-related protein 2/3 complex subunit 2,8,8,514330,610235,574147,600084
O15145,ARPC3_HUMAN,ARPC3,Actin-related protein 2/3 complex subunit 3,2,2,371547,540422,395716,469480
O15160,RPAC1_HUMAN,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,2,2,61038,78137.3,74810.1,22379.5
O15162,PLS1_HUMAN,PLSCR1,Phospholipid scramblase 1,1,1,,,,
O15164,TIF1A_HUMAN,TRIM24,Transcription intermediary factor 1-alpha,4,4,5312.22,11272.9,5262.3,8902.42
O15173,PGRC2_HUMAN,PGRMC2,Membrane-associated progesterone receptor component 2,3,2,685806,852337,725406,750619
O15182,CETN3_HUMAN,CETN3,Centrin-3,1,1,,,2053.3,4004.27
O15212,PFD6_HUMAN,PFDN6,Prefoldin subunit 6,4,4,294641,354912,324258,339511
O15213,WDR46_HUMAN,WDR46,WD repeat-containing protein 46,5,5,22684.7,22271.9,30225.6,32713.2
O15226,NKRF_HUMAN,NKRF,NF-kappa-B-repressing factor,9,9,62627.5,59700,61967.3,72445
O15228,GNPAT_HUMAN,GNPAT,Dihydroxyacetone phosphate acyltransferase,4,4,17539.4,,18380.5,18531.8
O15230,LAMA5_HUMAN,LAMA5,Laminin subunit alpha-5,5,5,,6602.23,3056.91,4694.76
O15231,ZN185_HUMAN,ZNF185,Zinc finger protein 185,6,6,2279.94,2740.07,2268.57,
O15235,RT12_HUMAN,MRPS12,Small ribosomal subunit protein uS12m,1,1,,4130.52,6759,3814.06
O15243,OBRG_HUMAN,LEPROT,Leptin receptor gene-related protein,1,1,,,,
O15258,RER1_HUMAN,RER1,Protein RER1,1,1,34376.8,26970.7,27059.8,
O15260,SURF4_HUMAN,SURF4,Surfeit locus protein 4,2,2,82039.8,120793,90367.1,128533
O15269,SPTC1_HUMAN,SPTLC1,Serine palmitoyltransferase 1,1,1,49091.2,32524.4,44348.1,72270.2
O15270,SPTC2_HUMAN,SPTLC2,Serine palmitoyltransferase 2,5,5,21299.3,16730.9,17703.6,18027.5
O15287,FANCG_HUMAN,FANCG,Fanconi anemia group G protein,1,1,,,,
O15294,OGT1_HUMAN,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,7,7,614580,706099,713516,652896
O15305,PMM2_HUMAN,PMM2,Phosphomannomutase 2,3,3,113604,169737,122375,145424
O15321,TM9S1_HUMAN,TM9SF1,Transmembrane 9 superfamily member 1,3,3,106216,110658,114699,107140
O15344,TRI18_HUMAN,MID1,E3 ubiquitin-protein ligase Midline-1,4,4,22788.9,31813.2,22448.1,27246.6
O15347,HMGB3_HUMAN,HMGB3,High mobility group protein B3,3,3,747790,882799,810514,858913
O15355,PPM1G_HUMAN,PPM1G,Protein phosphatase 1G,8,8,155891,182782,139139,138542
O15357,SHIP2_HUMAN,INPPL1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",8,8,116788,117756,136487,133443
O15371,EIF3D_HUMAN,EIF3D,Eukaryotic translation initiation factor 3 subunit D,4,4,273554,304818,281273,341116
O15372,EIF3H_HUMAN,EIF3H,Eukaryotic translation initiation factor 3 subunit H,6,6,384375,418538,419281,415079
O15379,HDAC3_HUMAN,HDAC3,Histone deacetylase 3,2,2,,,,
O15381,NVL_HUMAN,NVL,Nuclear valosin-containing protein-like,7,7,18487.8,22191.9,20316.2,26440.6
O15382,BCAT2_HUMAN,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",4,4,489959,681703,521201,534560
O15397,IPO8_HUMAN,IPO8,Importin-8,5,5,77662.1,80869.4,80501.6,69667.4
O15400,STX7_HUMAN,STX7,Syntaxin-7,3,3,12513.7,22557.4,15187.9,11349.9
O15403,MOT7_HUMAN,SLC16A6,Monocarboxylate transporter 7,2,2,,35762,,39386.7
O15427,MOT4_HUMAN,SLC16A3,Monocarboxylate transporter 4,5,5,511971,631169,495161,604490
O15431,COPT1_HUMAN,SLC31A1,High affinity copper uptake protein 1,1,1,,,,
O15438,MRP3_HUMAN,ABCC3,ATP-binding cassette sub-family C member 3,5,4,33624.4,26182.8,29164.8,27958
O15446,RPA34_HUMAN,POLR1G,DNA-directed RNA polymerase I subunit RPA34,3,3,47751.6,52415.4,64228.4,69744.4
O15460,P4HA2_HUMAN,P4HA2,Prolyl 4-hydroxylase subunit alpha-2,4,4,1626.72,,1599.15,2839.3
O15504,NUP42_HUMAN,NUP42,Nucleoporin NUP42,2,2,2130.02,1835.75,,
O15511,ARPC5_HUMAN,ARPC5,Actin-related protein 2/3 complex subunit 5,4,4,329836,379731,359674,334664
O15525,MAFG_HUMAN,MAFG,Transcription factor MafG,2,2,3233.34,,3745.79,4881.28
O15530;Q6A1A2,PDPK1_HUMAN;PDPK2_HUMAN,PDPK1;PDPK2P,3-phosphoinositide-dependent protein kinase 1,1,0,2834.65,,1203.75,
