Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,150H100Y_1,150H100Y_2,150H100Y_3,200H50Y_1,200H50Y_2,200H50Y_3,240H10Y_1,240H10Y_2,240H10Y_3
A0A024R1R8;Q9Y2S6,TMA7B_HUMAN;TMA7_HUMAN,TMA7;TMA7B,Translation machinery-associated protein 7B,1,0,428100,539676,536287,464863,584365,643705,525904,573547,551597
A0A024RBG1,NUD4B_HUMAN,NUDT4B,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,1,0,12919.5,11334,13280.5,13960.3,19369.5,15192.1,13558.9,12829.3,11348.7
A0A0B4J2F0,PIOS1_HUMAN,PIGBOS1,Protein PIGBOS1,1,1,132284,131967,150959,148786,169279,176375,169563,191365,149978
A0A0U1RRE5,NBDY_HUMAN,NBDY,Negative regulator of P-body association,1,1,12631.4,15790.5,19270.5,11265.3,16647.7,19848,20413.3,12362.2,20085.4
A0A1W2PP81;A0A1W2PPE2;A0A1W2PPH5;A0A1W2PR64;A0A1W2PRV1;P0DW11;P0DW12;P0DW13;P0DW14,TFKL3_HUMAN;TFKL4_HUMAN;TFKL5_HUMAN;TFKL6_HUMAN;TFKL7_HUMAN;TFKL8_HUMAN;TFKL9_HUMAN;TFKLJ_HUMAN;TFLM_HUMAN,TAF11L10;TAF11L13;TAF11L3;TAF11L4;TAF11L5;TAF11L6;TAF11L7;TAF11L8;TAF11L9,TATA-box-binding protein-associated factor 11-like protein 5,1,0,,,,17867.4,,,,,
A0A3B3IU46;Q9BTL3,RAMAC_HUMAN;RMACL_HUMAN,RAMAC;RAMACL,RNA guanine-N7 methyltransferase-activating subunit-like protein,1,0,21589.2,30832.5,37871.4,29436.3,32721.7,32793.6,31070.3,29697.5,39768.1
A0A8I5KQE6;P08865,RPSA2_HUMAN;RSSA_HUMAN,RPSA;RPSA2,Small ribosomal subunit protein uS2B,9,0,2.33E+06,2.01E+06,1.95E+06,2.13E+06,2.77E+06,2.52E+06,2.07E+06,2.17E+06,1.99E+06
A0AV96,RBM47_HUMAN,RBM47,RNA-binding protein 47,7,7,40752.2,31926,29089.4,31760.5,54993.1,45421.4,36966.9,33799.5,30889
A0AVT1,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,23,23,109026,91017.1,89961,97355,127782,116570,116293,111065,108801
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,7,7,71772.8,79308.1,80580.4,75364.4,100361,98322.9,74822.7,94210,91957.5
A0JNW5,BLT3B_HUMAN,BLTP3B,Bridge-like lipid transfer protein family member 3B,4,4,5392.58,6366.19,6051.78,4656.39,5164.91,3825.07,7238.42,3069.27,5529.83
A0MZ66,SHOT1_HUMAN,SHTN1,Shootin-1,14,14,108267,112697,110742,107552,149441,144463,112967,119394,123571
A0PJW6,TM223_HUMAN,TMEM223,Transmembrane protein 223,1,1,8274.51,7722.68,6045.9,12917.9,16881.5,13871.7,8229.84,,11809.3
A1L0T0,HACL2_HUMAN,ILVBL,2-hydroxyacyl-CoA lyase 2,6,6,145498,121455,117666,125350,169844,141430,130928,142568,122952
A1L170,CA226_HUMAN,C1orf226,Uncharacterized protein C1orf226,1,1,,2917.38,3504.66,,2129.03,,1663.84,,2283.63
A1L390,PKHG3_HUMAN,PLEKHG3,Pleckstrin homology domain-containing family G member 3,3,3,2371.68,,4014.69,2321.16,3293.6,4699.76,3438.15,2709.62,2949.11
A1X283,SPD2B_HUMAN,SH3PXD2B,SH3 and PX domain-containing protein 2B,3,3,7485.54,5157.32,9660.92,9628.43,10737.1,9866.01,9054.99,10703.1,10241
A2AJT9,BCLA3_HUMAN,BCLAF3,BCLAF1 and THRAP3 family member 3,1,1,2308.08,5034.54,,3933.18,6973.71,4749.84,2505.38,1929.65,3187.8
A2RRP1,NBAS_HUMAN,NBAS,NBAS subunit of NRZ tethering complex,16,16,20677.6,18833.2,18209.2,18636,25947.1,22130.2,19507.9,21632.4,21547.5
A2RU67,F234B_HUMAN,FAM234B,Protein FAM234B,1,1,4236.66,3279.43,5425.15,3712.68,5018.09,5107.09,4701.34,5137.9,
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,20,20,112379,113538,103595,118079,163275,146291,119689,103045,106235
A3KN83,SBNO1_HUMAN,SBNO1,Protein strawberry notch homolog 1,5,3,11794.9,12604.6,14350.9,11952.7,19673,17262.2,16921.1,16232.3,14524.3
A4D1E9,GTPBA_HUMAN,GTPBP10,GTP-binding protein 10,7,7,33477.6,27368.1,30235.4,29749.7,44655.2,38844.5,30281.3,36113.1,33042.7
A4D1P6,WDR91_HUMAN,WDR91,WD repeat-containing protein 91,3,3,,,5303.49,,6265.15,5896.58,3826.15,4431.24,5292.52
A5D8V6,VP37C_HUMAN,VPS37C,Vacuolar protein sorting-associated protein 37C,2,2,,,6597.91,,7950.97,10607.8,5583.64,6437.79,7001.92
A5PLN9,TPC13_HUMAN,TRAPPC13,Trafficking protein particle complex subunit 13,2,2,6946.67,,11838.8,10889.1,13739.4,7359.89,10947.9,16981,16648
A5YKK6,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,27,27,107658,103041,100004,98001.3,143953,133356,107336,119123,105489
A6NCE7;Q9GZQ8,MLP3B_HUMAN;MP3B2_HUMAN,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,1,0,93584.5,49487.7,45930.3,39163.8,75707.3,74111.9,69184.4,51375,44719.9
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,7,7,94697.9,110188,83009,93604.8,142895,116424,99201.9,105742,107061
A6NDU8,RIMC1_HUMAN,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,4,4,49867.5,53884.9,56044.6,54155.3,61184.2,65033.6,54257.9,46515.1,53714.9
A6NED2,RCCD1_HUMAN,RCCD1,RCC1 domain-containing protein 1,2,2,19593.7,34475.8,26474.4,20849.6,30176,36440.7,40669.1,33879,28602.7
A6NER3;A1L429;A6NDE8;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q13069;Q13070;Q4V321;Q4V326,GAG13_HUMAN;GAG2E_HUMAN;GAGE1_HUMAN;GAGE4_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN,GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE13;GAGE2E;GAGE4;GAGE5;GAGE6;GAGE7,G antigen 12B/C/D/E,1,0,5875.65,,4514.4,5850.59,9469.75,6522.5,5764.81,7306.11,4210.5
A6NFI3,ZN316_HUMAN,ZNF316,Zinc finger protein 316,3,3,,5801.69,,6569.54,6263.17,10108.5,7140.03,6865.26,10441.3
A6NHR9,SMHD1_HUMAN,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,24,24,75828.2,74060.9,68393.6,74304,96647.7,90935.7,63211.7,79521.3,70025.9
A6NIH7,U119B_HUMAN,UNC119B,Protein unc-119 homolog B,3,3,25650.2,26973.7,33851.3,23620.3,29939.6,27944.4,26624.9,25745,27712.1
A6NKF1,SAC31_HUMAN,SAC3D1,SAC3 domain-containing protein 1,3,3,31319.6,39631.7,29258.2,25121.3,38038.4,40988.8,27364.2,24834.7,21207.4
A6ZKI3;Q9BWD3,RTL8A_HUMAN;RTL8C_HUMAN,RTL8A;RTL8C,Retrotransposon Gag-like protein 8C,1,0,6217.93,8602.71,4784.04,6930.98,8308.05,11266,4859.21,6022.6,7526.06
A7E2V4,ZSWM8_HUMAN,ZSWIM8,Zinc finger SWIM domain-containing protein 8,2,2,,,,964.128,,1842.35,,1763.19,
A8CG34;Q96HA1,P121A_HUMAN;P121C_HUMAN,POM121;POM121C,Nuclear envelope pore membrane protein POM 121C,3,0,28456.2,15583.3,30215.7,20584,27854.1,33698.9,23774.1,20821.3,19810.1
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3,WASH1_HUMAN;WASH2_HUMAN;WASH3_HUMAN;WASH4_HUMAN;WASH6_HUMAN,WASH2P;WASH3P;WASH4P;WASH6P;WASHC1,WASH complex subunit 1,1,0,6621.47,5598.59,7583.06,8661.59,9891.96,,6314.83,7656.51,9202.97
A8MPP1,D11L8_HUMAN,DDX11L8,Putative ATP-dependent DNA helicase DDX11-like protein 8,4,0,4401.27,5652.82,3590.82,4725.41,7594.31,3864.31,3931.04,6437.13,4433.22
A8MT69,CENPX_HUMAN,CENPX,Centromere protein X,1,1,13385.7,14480.3,20716.4,14532.2,13354.9,18989.5,,18580.4,17588.4
A8MWD9;P62308,RUXGL_HUMAN;RUXG_HUMAN,SNRPG;SNRPGP15,Putative small nuclear ribonucleoprotein G-like protein 15,1,0,680898,511985,514798,533638,827180,770379,804328,730172,602252
A8MXV4,NUD19_HUMAN,NUDT19,Acyl-coenzyme A diphosphatase NUDT19,4,4,61854,42122.8,50891.5,67105.1,69054.8,60192,51737.1,48656.2,42478
A9QM74,IMA8_HUMAN,KPNA7,Importin subunit alpha-8,1,1,119869,78308.2,78167.1,95366,121017,86857,113495,86249.2,87833.5
A9UHW6,MI4GD_HUMAN,MIF4GD,MIF4G domain-containing protein,1,1,335.223,,6381.09,,2438.2,2771.44,801.442,1917.17,1587.69
B0I1T2,MYO1G_HUMAN,MYO1G,Unconventional myosin-Ig,24,22,356189,280469,260623,289914,393313,347815,324324,322218,314791
B5ME19;Q99613,EIF3C_HUMAN;EIFCL_HUMAN,EIF3C;EIF3CL,Eukaryotic translation initiation factor 3 subunit C-like protein,19,0,396267,366099,362071,368877,529377,469201,396114,424735,426442
B7ZAQ6;P0CG08,GPHRA_HUMAN;GPHRB_HUMAN,GPR89A;GPR89B,Golgi pH regulator A,4,0,33962.8,48931,55884.1,42444.4,66893.6,47296.3,41380,43209.1,38176.6
C9J7I0,UMAD1_HUMAN,UMAD1,UBAP1-MVB12-associated (UMA)-domain containing protein 1,1,1,,3775.96,,2778.17,2995.11,4422.24,3753.64,2541.1,2381.11
E9PAV3;Q13765,NACAM_HUMAN;NACA_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",3,2,1.13E+06,925086,942584,1.08E+06,1.40E+06,1.19E+06,944520,1.01E+06,969715
E9PRG8,CK098_HUMAN,C11orf98,Uncharacterized protein C11orf98,1,1,293988,212763,238672,255676,333852,271104,238980,231901,232286
L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,2,2,72073.8,53837.1,59303.2,61991.1,76908.4,65487.2,57851,63415.9,63050.9
L0R819,ASURF_HUMAN,ASDURF,ASNSD1 upstream open reading frame protein,3,3,41218.1,41602.5,43149.1,51973,64453.6,52461.4,37949.4,42584.3,37064.9
O00115,DNS2A_HUMAN,DNASE2,Deoxyribonuclease-2-alpha,3,3,166649,148415,164646,148661,201058,194146,147079,171108,166989
O00116,ADAS_HUMAN,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",14,14,189080,170646,169406,172941,216629,202752,187807,178138,180311
O00139,KIF2A_HUMAN,KIF2A,Kinesin-like protein KIF2A,9,8,76241.2,61766.4,61340,61694.4,85281.2,79790,64963.6,71345.2,77609.1
O00141,SGK1_HUMAN,SGK1,Serine/threonine-protein kinase Sgk1,1,1,,,,20847.4,25334.8,11060,14260,18801.7,12691.1
O00142,KITM_HUMAN,TK2,"Thymidine kinase 2, mitochondrial",4,4,14566.3,17265.5,13682.7,19044.3,26618.9,29363.1,16200.6,18302.7,17890.6
O00148,DX39A_HUMAN,DDX39A,ATP-dependent RNA helicase DDX39A,13,5,1.50E+06,1.40E+06,1.40E+06,1.28E+06,1.84E+06,1.70E+06,1.45E+06,1.63E+06,1.58E+06
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,7,7,41959.5,33760.9,39239.1,44450.8,54753.7,47222.8,39254.9,42166.4,39471.4
O00154,BACH_HUMAN,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,10,10,324140,255623,235823,280002,367198,300841,292785,302337,301076
O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,11,11,108948,95067.4,100723,94167.7,140397,112255,114494,104671,109266
O00161,SNP23_HUMAN,SNAP23,Synaptosomal-associated protein 23,4,4,57792.6,56177.3,47445.3,48023.2,65257.3,68855.9,51758.2,58104.3,53429.3
O00165,HAX1_HUMAN,HAX1,HCLS1-associated protein X-1,3,3,73344.4,46865.9,52624.1,57267.2,64603.4,59487.1,59326.1,48421.1,51357
O00170,AIP_HUMAN,AIP,AH receptor-interacting protein,5,5,169910,132203,137151,148080,214039,215077,143976,152694,145058
O00178,GTPB1_HUMAN,GTPBP1,GTP-binding protein 1,6,6,87332.8,75871.4,69662.1,77427.8,108027,83179.7,77814.3,87833.8,96816.3
O00180,KCNK1_HUMAN,KCNK1,Potassium channel subfamily K member 1,1,1,2880.3,4037.02,,2869.91,2408.36,3275.19,4020.56,5459.55,4906.81
O00182;Q3B8N2;Q6DKI2,LEG9B_HUMAN;LEG9C_HUMAN;LEG9_HUMAN,LGALS9;LGALS9B;LGALS9C,Galectin-9,1,0,55521.7,,,,,,,,
O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,7,7,59415.9,60786.1,53161.5,62367.1,73215.6,71489.6,61487.3,67840.1,65386.7
O00187,MASP2_HUMAN,MASP2,Mannan-binding lectin serine protease 2,2,2,11157,17396.5,8525.93,16303.2,19036.1,13441,8461.23,13685.2,8156.68
O00189,AP4M1_HUMAN,AP4M1,AP-4 complex subunit mu-1,2,2,8888.06,,6114.17,6581.3,11552.8,8840.68,6950.65,10098.4,8057.36
O00194,RB27B_HUMAN,RAB27B,Ras-related protein Rab-27B,5,4,63720.3,58649.8,51988.9,49977.7,93155.5,60399.3,56579.2,63699.6,60355.2
O00203,AP3B1_HUMAN,AP3B1,AP-3 complex subunit beta-1,11,9,313466,283898,233494,314105,403678,382079,240638,300824,292694
O00212,RHOD_HUMAN,RHOD,Rho-related GTP-binding protein RhoD,1,1,11161.1,18053,12564.5,13067.9,18455.9,23189.7,16642.3,17111.7,14240.3
O00217,NDUS8_HUMAN,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",2,2,161977,128209,140914,209325,236015,180209,148435,172798,163841
O00220,TR10A_HUMAN,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,1,1,19264.2,16882.6,16677.5,21253.1,29901.9,25162.1,14665.1,18347.9,18577.8
O00231,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,15,15,346531,330050,343417,311000,443860,396829,349661,369753,363266
O00232,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,11,11,274613,217760,205221,197853,283819,262756,237802,257254,224756
O00233,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,8,8,288001,331679,302526,283483,379592,354327,307423,323663,346766
O00255,MEN1_HUMAN,MEN1,Menin,7,7,17912.9,25580.9,18745.5,22153.4,27941.8,23999.4,20459.1,19523.2,18390.3
O00257,CBX4_HUMAN,CBX4,E3 SUMO-protein ligase CBX4,2,2,13304.8,15039.2,13786,12422.4,20014.4,17707.3,17021.5,20866.7,16107.1
O00264,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,2,2,536267,403298,425556,426118,490915,504426,511108,443343,487018
O00267,SPT5H_HUMAN,SUPT5H,Transcription elongation factor SPT5,16,16,155290,146809,151509,152318,203596,169989,153788,172239,160702
O00268,TAF4_HUMAN,TAF4,Transcription initiation factor TFIID subunit 4,7,7,13341,14750.3,13867.1,10784.5,17679.1,12860.9,12209.6,12749.3,12634.3
O00273,DFFA_HUMAN,DFFA,DNA fragmentation factor subunit alpha,7,7,37147,46032.2,39264.6,39165.1,48289.7,59751.4,47644.4,47974.9,47585.6
O00287,RFXAP_HUMAN,RFXAP,Regulatory factor X-associated protein,1,1,5376.59,,,,12382.5,9869.1,,6473.17,
O00291,HIP1_HUMAN,HIP1,Huntingtin-interacting protein 1,12,12,15935,16074.9,15656.8,16736.9,19929.7,21335,18017.4,22915.3,17116.4
O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,10,10,2.42E+06,2.49E+06,2.54E+06,2.22E+06,3.27E+06,3.10E+06,2.64E+06,2.72E+06,2.68E+06
O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,6,6,475295,418574,404721,397048,549547,500017,466845,480797,446370
O00308,WWP2_HUMAN,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2,1,1,3808.45,7041.21,4047.56,4155.89,5123.22,4180.8,,6849.25,4516.08
O00330,ODPX_HUMAN,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",4,4,71963.6,73262.5,52594.2,82302,90814.4,89962,68035.6,71400.3,61544.4
O00391,QSOX1_HUMAN,QSOX1,Sulfhydryl oxidase 1,3,3,81163.6,95255.2,68393.3,97454.5,138278,149649,63082,60164.2,134037
O00399,DCTN6_HUMAN,DCTN6,Dynactin subunit 6,2,2,40695.1,46801.4,34890.6,56589.2,63953,36921.8,44380.6,43173.3,42530.1
O00400,ACATN_HUMAN,SLC33A1,Acetyl-coenzyme A transporter 1,4,4,43868.9,40135.5,37473.3,47703.5,47703,53550.9,46164.7,53557.6,41244.2
O00401,WASL_HUMAN,WASL,Actin nucleation-promoting factor WASL,3,3,33473.6,29347.3,28010.3,29753.8,37555.7,33828.2,22872.3,25771.3,28671.3
O00410,IPO5_HUMAN,IPO5,Importin-5,18,16,393748,370068,372951,393445,472369,439632,407334,420201,414276
O00411,RPOM_HUMAN,POLRMT,"DNA-directed RNA polymerase, mitochondrial",7,7,22375,15917,13569.9,21021.2,27416.3,17711.6,17772.5,21853.3,17631
O00418,EF2K_HUMAN,EEF2K,Eukaryotic elongation factor 2 kinase,4,4,26210.9,27795.3,29721.7,22378,30342.3,35099.3,29960.8,29308.8,33392
O00422,SAP18_HUMAN,SAP18,Histone deacetylase complex subunit SAP18,4,4,127534,166739,184670,154399,202900,212707,185656,210873,152318
O00423,EMAL1_HUMAN,EML1,Echinoderm microtubule-associated protein-like 1,3,3,5802.83,9811.63,9148.9,9846.17,7890.15,16955.6,7977.6,10289.7,8528.53
O00425,IF2B3_HUMAN,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,12,10,273107,244310,257833,265982,327593,307023,267338,283375,274203
O00429,DNM1L_HUMAN,DNM1L,Dynamin-1-like protein,12,12,165472,175660,171289,182890,225040,202022,164324,196216,198640
O00442,RTCA_HUMAN,RTCA,RNA 3'-terminal phosphate cyclase,3,3,21659.7,22414.9,22568.2,14163.8,33511.5,34980.4,38921.9,28889.9,26682.8
O00443,P3C2A_HUMAN,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,15,15,17450.8,18441.2,18788.5,19076,22653.4,23820.8,17670.5,18158.1,17113.1
O00458,IFRD1_HUMAN,IFRD1,Interferon-related developmental regulator 1,7,7,44638,38399.8,32826.6,47783.1,48719.2,53076.1,46182.2,47258.7,46190.8
O00459,P85B_HUMAN,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,6,5,5781.44,7175.08,5577.79,4266.6,9128.1,10062.1,6023.79,6646.76,8120.78
O00461,GOLI4_HUMAN,GOLIM4,Golgi integral membrane protein 4,8,8,45694,40528.3,47095.3,61715.8,71935.8,65285.9,66050.6,67176.3,63068.5
O00462,MANBA_HUMAN,MANBA,Beta-mannosidase,3,3,12634.8,,6742.87,9388.53,11444.4,8100.66,5146.49,10079.5,8224.19
O00468,AGRIN_HUMAN,AGRN,Agrin,12,12,19348.1,19763.5,19559.2,19585,24516.9,22267.5,20023.3,24786.4,25005.8
O00469,PLOD2_HUMAN,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",6,6,17831.9,16912.3,18262.4,19135.5,23659.3,21115.2,17418.7,19521.9,16083.6
O00471,EXOC5_HUMAN,EXOC5,Exocyst complex component 5,9,9,34378.5,33025,30871.9,33585.5,46388,44143.3,33302.6,38755.2,33469
O00479,HMGN4_HUMAN,HMGN4,High mobility group nucleosome-binding domain-containing protein 4,1,1,177546,231077,265410,191248,287881,304409,251784,256541,272397
O00481,BT3A1_HUMAN,BTN3A1,Butyrophilin subfamily 3 member A1,1,1,29322.6,20805.8,23058.1,23455.1,23307.8,26102.3,15403.1,13900,12413.8
O00483,NDUA4_HUMAN,NDUFA4,Cytochrome c oxidase subunit NDUFA4,3,3,737038,662278,670725,861924,1.10E+06,816822,749901,828904,695429
O00487,PSDE_HUMAN,PSMD14,26S proteasome non-ATPase regulatory subunit 14,2,2,150227,98114.2,95021.6,147552,196777,128400,108399,105467,114169
O00499,BIN1_HUMAN,BIN1,Myc box-dependent-interacting protein 1,5,5,22576.5,18412.9,22895.3,29671,32769.6,23740.2,27705.2,23100.1,24206.5
O00505,IMA4_HUMAN,KPNA3,Importin subunit alpha-4,3,3,93175.9,125658,135147,103595,146710,144942,134152,137787,92670.7
O00534,VMA5A_HUMAN,VWA5A,von Willebrand factor A domain-containing protein 5A,10,10,73777.6,71930.1,51493.8,69358.8,99949.8,77900.4,78397.2,81570.2,78896.3
O00541,PESC_HUMAN,PES1,Pescadillo homolog,9,9,236314,239843,274697,251817,311500,298442,264191,274443,270457
O00560,SDCB1_HUMAN,SDCBP,Syntenin-1,4,4,37856.8,32981.1,28376.9,38952,48103.6,38514.6,34724.3,40673.4,33894.3
O00562,PITM1_HUMAN,PITPNM1,Membrane-associated phosphatidylinositol transfer protein 1,3,3,8344.16,12315.5,10026.3,8141.4,9577.27,9445.54,8795.81,8251.88,
O00566,MPP10_HUMAN,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10,6,6,53293.5,51787.3,53605,48572.4,69134.2,65224.2,54778.8,58188.1,46556.8
O00567,NOP56_HUMAN,NOP56,Nucleolar protein 56,15,15,417346,432276,445901,461837,593214,560409,421872,485802,480030
O00571,DDX3X_HUMAN,DDX3X,ATP-dependent RNA helicase DDX3X,17,7,440131,407474,395449,392858,571500,534513,480036,460458,418131
O00584,RNT2_HUMAN,RNASET2,Ribonuclease T2,2,2,14950.6,12600.6,20950.7,13688.7,19946.1,16100.6,19008.9,18291.8,12590.2
O00592,PODXL_HUMAN,PODXL,Podocalyxin,7,7,575950,702942,696800,696671,870631,803522,605810,756966,700210
O00622,CCN1_HUMAN,CCN1,CCN family member 1,4,4,17008.7,18727.5,16765.2,21622.7,26905.2,20757.9,17413.1,18655.5,24143.4
O00625,PIR_HUMAN,PIR,Pirin,3,3,203702,225711,214384,226855,275952,255488,194506,277417,264010
O00629,IMA3_HUMAN,KPNA4,Importin subunit alpha-3,6,4,267705,202267,189963,205981,286536,239161,247824,243607,204071
O00635,TRI38_HUMAN,TRIM38,E3 ubiquitin-protein ligase TRIM38,3,3,13627,16409.3,10909.4,12330.4,21412.5,17939.8,11700.6,18892.8,13918.9
O00712,NFIB_HUMAN,NFIB,Nuclear factor 1 B-type,4,4,25551.3,29526.6,29243.8,29356.7,38421.5,46128.7,21421.1,40854.8,37464.2
O00716,E2F3_HUMAN,E2F3,Transcription factor E2F3,1,0,,,,,,6937.1,2832.25,,
O00743,PPP6_HUMAN,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,4,4,193835,134737,147039,171091,215558,184572,135045,150409,129522
O00750,P3C2B_HUMAN,PIK3C2B,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,2,2,4137.25,4225.86,3506.85,5349.44,9696.22,9154.48,5394.87,5245.1,5041.06
O00754,MA2B1_HUMAN,MAN2B1,Lysosomal alpha-mannosidase,1,1,7922.79,4239.92,3403.13,2043.19,6364.23,,6694.96,5728.85,7628.41
O00757;P09201;P09467,F16P1_HUMAN;F16P2_HUMAN;F16P_YEAST,FBP1;FBP2,"Fructose-1,6-bisphosphatase isozyme 2",1,0,,9374.99,4265.46,2961.52,10601.3,,11037.1,9547.99,4965.18
O00762,UBE2C_HUMAN,UBE2C,Ubiquitin-conjugating enzyme E2 C,1,1,26819.8,16160.3,18842.7,12477.4,25968.5,19122.4,24253.7,11455.4,12535.6
O00764,PDXK_HUMAN,PDXK,Pyridoxal kinase,6,6,260313,230432,245096,255583,317095,296807,263481,272204,258291
O00767,SCD_HUMAN,SCD,Stearoyl-CoA desaturase,3,3,280196,213555,184164,248740,355652,214833,231057,226646,213346
O13297,CET1_YEAST,CET1,mRNA-capping enzyme subunit beta,2,2,26952.2,43247.4,45649,12496.4,16547.6,19715.4,,4003.87,
O13329,FOB1_YEAST,FOB1,DNA replication fork-blocking protein FOB1,1,1,8266.79,8290.53,6649.95,,,,,,
O13539,THP2_YEAST,THP2,THO complex subunit THP2,2,2,14388.5,14843.7,14774.3,4214.95,6235.06,4305.03,,2115.03,
O13563,RPN13_YEAST,RPN13,26S proteasome regulatory subunit RPN13,3,3,27052.1,26335.1,25834.7,12099.4,10912.2,11216,,,
O13585,YP089_YEAST,YPR089W,Dilute domain-containing protein YPR089W,4,4,12239.1,15360.6,22490,7455.23,5460.84,4974.87,,,
O14455;P05745,RL36A_YEAST;RL36B_YEAST,RPL36A;RPL36B,Large ribosomal subunit protein eL36B,3,0,4.80E+06,3.53E+06,3.43E+06,2.08E+06,2.00E+06,1.92E+06,384604,371224,351844
O14467,MBF1_YEAST,MBF1,Multiprotein-bridging factor 1,6,6,1.25E+06,1.45E+06,1.59E+06,511982,658759,689386,131802,156989,152921
O14468,YO304_YEAST,YOR304C-A,Uncharacterized protein YOR304C-A,1,1,,4975.51,4387.7,,,,,,730.193
O14497,ARI1A_HUMAN,ARID1A,AT-rich interactive domain-containing protein 1A,14,14,34476,38163.8,34950.4,34733.4,47869.5,36633.3,30526.5,38596.3,38523.6
O14521,DHSD_HUMAN,SDHD,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",1,1,,10638.9,,,,13236.8,13780.3,16988,8986.7
O14524,NEMP1_HUMAN,NEMP1,Nuclear envelope integral membrane protein 1,3,3,34743,59132.6,59682.2,44761.4,54235.4,64967.8,51525.9,48833.1,58521.8
O14530,TXND9_HUMAN,TXNDC9,Thioredoxin domain-containing protein 9,4,4,48121.9,52392.6,48587.1,48946.3,66350.1,66779.4,47828.3,58359.5,65412.3
O14545,TRAD1_HUMAN,TRAFD1,TRAF-type zinc finger domain-containing protein 1,4,4,20354.4,25350.3,24249.8,19036,34794.5,31058.9,23392.3,28581,27706.2
O14548,CO72L_HUMAN,COX7A2L,"Cytochrome c oxidase subunit 7A2-like, mitochondrial",3,3,129086,151850,158207,130396,172671,186922,123780,148405,137472
O14561,ACPM_HUMAN,NDUFAB1,"Acyl carrier protein, mitochondrial",3,3,51841.9,49549.7,47212,64008.8,76126.6,74898.4,72355.9,73512.1,73756.4
O14562,UBFD1_HUMAN,UBFD1,Ubiquitin domain-containing protein UBFD1,3,3,193030,156190,138389,211977,192145,161046,176015,186176,164151
O14578,CTRO_HUMAN,CIT,Citron Rho-interacting kinase,8,8,6900.35,8155.26,6067.63,8943.66,11340.4,12573.7,9365.15,11315.4,9768.46
O14579,COPE_HUMAN,COPE,Coatomer subunit epsilon,5,5,327873,293608,268123,289006,398001,325432,308000,309656,298182
O14593,RFXK_HUMAN,RFXANK,DNA-binding protein RFXANK,1,1,,,,,,,10668.6,,13675
O14613,BORG1_HUMAN,CDC42EP2,Cdc42 effector protein 2,1,1,,5909.78,5532.44,5841.67,16296.8,7198.13,8713.86,9128.42,3734.85
