Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,150H100Y_1,150H100Y_2,150H100Y_3,200H50Y_1,200H50Y_2,200H50Y_3,240H10Y_1,240H10Y_2,240H10Y_3
P29218,IMPA1_HUMAN,IMPA1,Inositol monophosphatase 1,5,5,93758.3,93354.6,97297.1,98888.5,125495,112093,98171.6,106800,91334.8
P29295,HRR25_YEAST,HRR25,Casein kinase I homolog HRR25,1,1,,,485.297,,,,,,
P29311,BMH1_YEAST,BMH1,Protein BMH1,6,2,4.30E+06,5.29E+06,5.13E+06,1.80E+06,2.37E+06,2.49E+06,490496,612559,576288
P29317,EPHA2_HUMAN,EPHA2,Ephrin type-A receptor 2,7,6,84127.2,78472.9,79466,89459.8,106117,93803.5,86169.2,79849.4,80460.3
P29350,PTN6_HUMAN,PTPN6,Tyrosine-protein phosphatase non-receptor type 6,7,7,24082.7,21843.4,23001.9,18944.6,28155.9,24170.6,20488.6,27547.1,23543.9
P29353,SHC1_HUMAN,SHC1,SHC-transforming protein 1,6,5,48760.9,50039.9,37870.9,46885.6,67639.2,57347.3,39831,45050.5,49233.7
P29366,BEM1_YEAST,BEM1,Bud emergence protein 1,2,2,55230.3,61208.6,57548.4,18468.7,18917.1,,,14298.4,
P29372,3MG_HUMAN,MPG,DNA-3-methyladenine glycosylase,6,6,38131.5,31740.6,29394.1,26643.9,42056.7,36357.4,35109.9,33185.5,35197.9
P29374,ARI4A_HUMAN,ARID4A,AT-rich interactive domain-containing protein 4A,1,1,,,,3153.81,3303.23,4473.52,,1559.22,2927.55
P29375,KDM5A_HUMAN,KDM5A,Lysine-specific demethylase 5A,4,4,28061.1,,,26066.8,31104.9,53276.5,49972.1,13281.6,29543.2
P29401,TKT_HUMAN,TKT,Transketolase,11,11,5.35E+06,5.15E+06,5.57E+06,4.87E+06,6.77E+06,6.21E+06,5.55E+06,5.74E+06,5.65E+06
P29453,RL8B_YEAST,RPL8B,Large ribosomal subunit protein eL8B,1,1,282150,204769,171969,85984.2,106949,93471.8,,,24939.8
P29466,CASP1_HUMAN,CASP1,Caspase-1,4,4,64911.7,69824.1,61036.4,68148,78878.3,77394,79574,82336.4,81080.9
P29468,PAP_YEAST,PAP1,Poly(A) polymerase,5,5,79222.8,67508.6,81883.8,28716.6,35091.6,33558.2,17782.1,,
P29469,MCM2_YEAST,MCM2,DNA replication licensing factor MCM2,6,6,28609.4,16650.2,14733.2,9210.08,12713.3,6518.21,,3957.72,5046.71
P29496,MCM5_YEAST,MCM5,Minichromosome maintenance protein 5,6,6,22770.9,20329.9,20280.8,8967.47,11666.4,9994.08,8477.09,,
P29508,SPB3_HUMAN,SERPINB3,Serpin B3,7,3,32863.9,29495.2,31615.4,31308,41674.2,31430.6,28079.3,31359.2,31403.3
P29509,TRXB1_YEAST,TRR1,Thioredoxin reductase 1,7,7,2.24E+06,1.92E+06,1.83E+06,954580,1.30E+06,1.22E+06,207158,210941,197007
P29547,EF1G1_YEAST,CAM1,Elongation factor 1-gamma 1,7,7,714000,688553,707950,273527,321387,339008,85926.4,91976,83351.2
P29558,RBMS1_HUMAN,RBMS1,"RNA-binding motif, single-stranded-interacting protein 1",3,2,23039,25130.6,22024.5,22984.1,30914,27587.1,28390,28131.5,29193.2
P29590,PML_HUMAN,PML,Protein PML,9,9,57676.4,79396.3,73725.9,70979.7,88251,80556.7,69104.6,85185.7,73138.2
P29597,TYK2_HUMAN,TYK2,Non-receptor tyrosine-protein kinase TYK2,2,2,2873.41,,,3476.5,4891.29,3686.36,2761.75,,2301.67
P29692,EF1D_HUMAN,EEF1D,Elongation factor 1-delta,9,8,3.29E+06,3.03E+06,2.90E+06,3.11E+06,4.31E+06,3.60E+06,2.88E+06,3.13E+06,3.21E+06
P29703,FNTA_YEAST,RAM2,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,1,1,3203.02,3863.32,3642.29,1099.52,2050.89,,,,
P29704,ERG9_YEAST,ERG9,Squalene synthase ERG9,7,7,985674,1.07E+06,1.03E+06,481788,501659,475030,102764,110397,112688
P29952,MPI_YEAST,PMI40,Mannose-6-phosphate isomerase,7,7,559675,459419,431928,215570,276037,193422,48050.8,48214,48601.5
P29992,GNA11_HUMAN,GNA11,Guanine nucleotide-binding protein subunit alpha-11,5,2,98565.1,72433.1,72567.1,87934.5,110573,99773.9,81443.9,91262.3,87638.8
