run order,250pgWet,SC,DM
215,#N/A,4368,#N/A
216,#N/A,4043,#N/A
217,5079,#N/A,#N/A
218,5158,#N/A,#N/A
219,#N/A,#N/A,621
220,#N/A,#N/A,384
221,#N/A,4084,#N/A
222,#N/A,3909,#N/A
223,#N/A,4475,#N/A
224,#N/A,4441,#N/A
225,#N/A,3960,#N/A
226,#N/A,4013,#N/A
227,#N/A,4325,#N/A
228,#N/A,4713,#N/A
229,#N/A,4164,#N/A
230,#N/A,4589,#N/A
231,#N/A,4650,#N/A
232,#N/A,4087,#N/A
233,#N/A,4380,#N/A
234,#N/A,4770,#N/A
235,#N/A,4615,#N/A
236,#N/A,4716,#N/A
237,#N/A,3888,#N/A
238,#N/A,310,#N/A
239,5136,#N/A,#N/A
240,5222,#N/A,#N/A
241,#N/A,#N/A,466
242,#N/A,#N/A,482
243,#N/A,3961,#N/A
244,#N/A,4814,#N/A
245,#N/A,3721,#N/A
246,#N/A,4244,#N/A
247,#N/A,3610,#N/A
248,#N/A,4304,#N/A
249,#N/A,4306,#N/A
250,#N/A,4432,#N/A
251,#N/A,4474,#N/A
252,#N/A,3879,#N/A
253,#N/A,3555,#N/A
254,#N/A,4804,#N/A
255,#N/A,4912,#N/A
256,#N/A,4601,#N/A
257,#N/A,423,#N/A
258,#N/A,3937,#N/A
259,#N/A,4668,#N/A
260,#N/A,3813,#N/A
261,5184,#N/A,#N/A
262,5243,#N/A,#N/A
263,#N/A,#N/A,467
264,#N/A,#N/A,366
265,#N/A,4522,#N/A
266,#N/A,4173,#N/A
267,#N/A,644,#N/A
268,#N/A,4035,#N/A
269,#N/A,4354,#N/A
270,#N/A,3671,#N/A
271,#N/A,4469,#N/A
272,#N/A,462,#N/A
273,#N/A,443,#N/A
274,#N/A,4453,#N/A
275,#N/A,4138,#N/A
276,#N/A,4351,#N/A
277,#N/A,4045,#N/A
278,#N/A,4300,#N/A
279,#N/A,273,#N/A
280,#N/A,4394,#N/A
281,#N/A,4280,#N/A
282,#N/A,3929,#N/A
283,5264,#N/A,#N/A
284,5163,#N/A,#N/A
285,#N/A,654,#N/A
286,#N/A,4343,#N/A
287,#N/A,4031,#N/A
288,#N/A,4383,#N/A
289,#N/A,4102,#N/A
290,#N/A,4034,#N/A
291,#N/A,3453,#N/A
292,#N/A,3886,#N/A
293,#N/A,387,#N/A
294,#N/A,3780,#N/A
295,#N/A,4048,#N/A
296,#N/A,4333,#N/A
297,#N/A,4123,#N/A
298,#N/A,4358,#N/A
299,#N/A,4323,#N/A
