run order,250pgWet,SC,DM
939,#N/A,4906,#N/A
940,#N/A,4431,#N/A
941,#N/A,3800,#N/A
942,5135,#N/A,#N/A
943,5055,#N/A,#N/A
944,#N/A,#N/A,586
945,#N/A,#N/A,234
946,#N/A,1461,#N/A
947,#N/A,4331,#N/A
948,#N/A,3907,#N/A
949,#N/A,3422,#N/A
950,#N/A,413,#N/A
951,#N/A,4219,#N/A
952,#N/A,4402,#N/A
953,#N/A,4223,#N/A
954,#N/A,4277,#N/A
955,#N/A,3671,#N/A
956,#N/A,1595,#N/A
957,#N/A,3327,#N/A
958,#N/A,3998,#N/A
959,#N/A,3743,#N/A
960,#N/A,2403,#N/A
961,#N/A,3013,#N/A
962,#N/A,3679,#N/A
963,#N/A,2777,#N/A
964,5071,#N/A,#N/A
965,4930,#N/A,#N/A
966,#N/A,#N/A,459
967,#N/A,#N/A,381
968,#N/A,3913,#N/A
969,#N/A,4204,#N/A
970,#N/A,4627,#N/A
971,#N/A,4037,#N/A
972,#N/A,3782,#N/A
973,#N/A,4196,#N/A
974,#N/A,3350,#N/A
975,#N/A,2730,#N/A
976,#N/A,3532,#N/A
977,#N/A,4161,#N/A
978,#N/A,565,#N/A
979,#N/A,4325,#N/A
980,#N/A,4191,#N/A
981,#N/A,489,#N/A
982,#N/A,2224,#N/A
983,#N/A,4196,#N/A
984,#N/A,377,#N/A
985,#N/A,820,#N/A
986,4942,#N/A,#N/A
987,5019,#N/A,#N/A
988,#N/A,#N/A,436
989,#N/A,#N/A,499
990,#N/A,3772,#N/A
991,#N/A,3876,#N/A
992,#N/A,3932,#N/A
993,#N/A,638,#N/A
994,#N/A,992,#N/A
995,#N/A,407,#N/A
996,#N/A,3866,#N/A
997,#N/A,434,#N/A
998,#N/A,4271,#N/A
999,#N/A,577,#N/A
1000,#N/A,3622,#N/A
1001,#N/A,3428,#N/A
1002,#N/A,465,#N/A
1003,#N/A,3805,#N/A
1004,#N/A,2292,#N/A
1005,#N/A,2346,#N/A
1006,#N/A,759,#N/A
1007,#N/A,4223,#N/A
1008,5044,#N/A,#N/A
1009,4983,#N/A,#N/A
1010,#N/A,3711,#N/A
1011,#N/A,4005,#N/A
1012,#N/A,730,#N/A
1013,#N/A,3779,#N/A
1014,#N/A,4229,#N/A
1015,#N/A,2891,#N/A
1016,#N/A,4036,#N/A
1017,#N/A,4406,#N/A
1018,#N/A,4362,#N/A
1019,#N/A,4392,#N/A
1020,#N/A,2626,#N/A
1021,#N/A,3239,#N/A
1022,#N/A,4064,#N/A
1023,#N/A,4189,#N/A
1024,#N/A,3805,#N/A
1025,#N/A,3775,#N/A
1026,#N/A,4239,#N/A
1027,#N/A,346,#N/A
1028,4999,#N/A,#N/A
1029,4927,#N/A,#N/A
1030,#N/A,4012,#N/A
1031,#N/A,286,#N/A
1032,#N/A,3509,#N/A
1033,#N/A,3585,#N/A
1034,#N/A,267,#N/A
1035,#N/A,3381,#N/A
1036,#N/A,3958,#N/A
1037,#N/A,3367,#N/A
1038,#N/A,4579,#N/A
1039,#N/A,1932,#N/A
1040,#N/A,4552,#N/A
1041,#N/A,4356,#N/A
1042,#N/A,4537,#N/A
1043,#N/A,4021,#N/A
1044,#N/A,2437,#N/A
1045,#N/A,4223,#N/A
1046,#N/A,600,#N/A
1047,#N/A,3966,#N/A
1048,5079,#N/A,#N/A
1049,4900,#N/A,#N/A
1050,#N/A,4137,#N/A
1051,#N/A,4219,#N/A
1052,#N/A,4302,#N/A
1053,#N/A,3848,#N/A
1054,#N/A,4090,#N/A
1055,#N/A,351,#N/A
1056,#N/A,3591,#N/A
1057,#N/A,3914,#N/A
1058,#N/A,349,#N/A
1059,#N/A,4544,#N/A
1060,#N/A,2303,#N/A
1061,#N/A,4827,#N/A
1062,#N/A,4248,#N/A
1063,#N/A,2429,#N/A
1064,#N/A,3606,#N/A
1065,#N/A,3634,#N/A
1066,#N/A,2883,#N/A
1067,#N/A,4599,#N/A
1068,5021,#N/A,#N/A
1069,5010,#N/A,#N/A
1070,#N/A,3810,#N/A
1071,#N/A,2757,#N/A
1072,#N/A,3672,#N/A
1073,#N/A,3937,#N/A
1074,#N/A,3935,#N/A
1075,#N/A,431,#N/A
1076,#N/A,4609,#N/A
1077,#N/A,512,#N/A
1078,#N/A,3804,#N/A
1079,#N/A,325,#N/A
1080,#N/A,4012,#N/A
1081,#N/A,4365,#N/A
1082,#N/A,451,#N/A
1083,#N/A,4408,#N/A
1084,#N/A,4519,#N/A
1085,#N/A,3739,#N/A
1086,#N/A,4016,#N/A
1087,#N/A,3618,#N/A
1088,5105,#N/A,#N/A
1089,5042,#N/A,#N/A
1090,#N/A,3088,#N/A
1091,#N/A,4335,#N/A
1092,#N/A,3644,#N/A
1093,#N/A,4179,#N/A
1094,#N/A,3678,#N/A
1095,#N/A,4249,#N/A
1096,#N/A,3867,#N/A
1097,#N/A,365,#N/A
1098,#N/A,3650,#N/A
1099,#N/A,4280,#N/A
1100,#N/A,2369,#N/A
1101,5035,#N/A,#N/A
1102,4941,#N/A,#N/A
1103,#N/A,3860,#N/A
1104,#N/A,4509,#N/A
1105,#N/A,3469,#N/A
1106,#N/A,3132,#N/A
1107,#N/A,3617,#N/A
1108,#N/A,2707,#N/A
1109,#N/A,3737,#N/A
1110,#N/A,3855,#N/A
1111,#N/A,4250,#N/A
1112,#N/A,4136,#N/A
1113,#N/A,4044,#N/A
1114,#N/A,4253,#N/A
1115,#N/A,4443,#N/A
1116,#N/A,4181,#N/A
1117,#N/A,1875,#N/A
1118,#N/A,4249,#N/A
1119,#N/A,4127,#N/A
1120,#N/A,3877,#N/A
1121,5210,#N/A,#N/A
1122,5026,#N/A,#N/A
1123,#N/A,#N/A,15
1124,#N/A,#N/A,10
1125,#N/A,4431,#N/A
1126,#N/A,4122,#N/A
1127,#N/A,392,#N/A
1128,#N/A,3826,#N/A
1129,#N/A,3790,#N/A
1130,#N/A,4607,#N/A
1131,#N/A,4695,#N/A
1132,#N/A,4237,#N/A
1133,#N/A,4065,#N/A
1134,#N/A,3873,#N/A
1135,#N/A,4510,#N/A
1136,#N/A,3942,#N/A
1137,#N/A,4207,#N/A
1138,#N/A,4521,#N/A
1139,#N/A,4353,#N/A
1140,#N/A,4259,#N/A
1141,#N/A,3589,#N/A
1142,#N/A,3845,#N/A
1143,5127,#N/A,#N/A
1144,4915,#N/A,#N/A
1145,#N/A,#N/A,334
1146,#N/A,#N/A,259
1147,#N/A,380,#N/A
1148,#N/A,4142,#N/A
1149,#N/A,3874,#N/A
1150,#N/A,3927,#N/A
1151,#N/A,3858,#N/A
1152,#N/A,3675,#N/A
1153,#N/A,3666,#N/A
1154,#N/A,3614,#N/A
1155,#N/A,4811,#N/A
1156,#N/A,3885,#N/A
1157,#N/A,3782,#N/A
1158,#N/A,343,#N/A
1159,#N/A,506,#N/A
1160,#N/A,4051,#N/A
1161,#N/A,4682,#N/A
1162,#N/A,4110,#N/A
1163,#N/A,4262,#N/A
1164,#N/A,3649,#N/A
1165,5085,#N/A,#N/A
1166,4864,#N/A,#N/A
1167,#N/A,#N/A,453
1168,#N/A,#N/A,276
1169,#N/A,4771,#N/A
1170,#N/A,4017,#N/A
1171,#N/A,4319,#N/A
1172,#N/A,3701,#N/A
1173,#N/A,450,#N/A
1174,#N/A,418,#N/A
1175,#N/A,3198,#N/A
1176,#N/A,4149,#N/A
1177,#N/A,3899,#N/A
1178,#N/A,4505,#N/A
1179,#N/A,351,#N/A
1180,#N/A,4176,#N/A
1181,#N/A,4722,#N/A
1182,#N/A,3897,#N/A
1183,#N/A,4047,#N/A
1184,#N/A,3692,#N/A
1185,#N/A,4170,#N/A
1186,#N/A,3947,#N/A
1187,5070,#N/A,#N/A
1188,4931,#N/A,#N/A
1189,#N/A,#N/A,434
1190,#N/A,#N/A,168
1191,#N/A,4092,#N/A
1192,#N/A,363,#N/A
1193,#N/A,3867,#N/A
1194,#N/A,4330,#N/A
1195,#N/A,4772,#N/A
1196,#N/A,4271,#N/A
1197,#N/A,325,#N/A
1198,#N/A,3899,#N/A
1199,#N/A,3361,#N/A
1200,#N/A,4098,#N/A
1201,#N/A,330,#N/A
1202,#N/A,4419,#N/A
1203,#N/A,4154,#N/A
1204,#N/A,136,#N/A
1205,#N/A,3056,#N/A
1206,#N/A,3997,#N/A
1207,#N/A,3920,#N/A
1208,#N/A,4341,#N/A
1209,5134,#N/A,#N/A
1210,4999,#N/A,#N/A
1211,#N/A,#N/A,415
1212,#N/A,#N/A,156
1213,#N/A,4283,#N/A
1214,#N/A,3649,#N/A
1215,#N/A,3970,#N/A
1216,#N/A,4125,#N/A
1217,#N/A,4098,#N/A
1218,#N/A,4265,#N/A
1219,#N/A,700,#N/A
1220,#N/A,3982,#N/A
1221,#N/A,4247,#N/A
1222,#N/A,4201,#N/A
1223,#N/A,4212,#N/A
1224,#N/A,301,#N/A
1225,#N/A,3993,#N/A
1226,#N/A,2090,#N/A
1227,#N/A,908,#N/A
1228,#N/A,4125,#N/A
1229,#N/A,3919,#N/A
1230,#N/A,3923,#N/A
1231,5060,#N/A,#N/A
1232,4968,#N/A,#N/A
1233,#N/A,#N/A,378
1234,#N/A,#N/A,192
1235,#N/A,4145,#N/A
1236,#N/A,4899,#N/A
1237,#N/A,4223,#N/A
1238,#N/A,3871,#N/A
1239,#N/A,3647,#N/A
1240,#N/A,4029,#N/A
1241,#N/A,3155,#N/A
1242,#N/A,3488,#N/A
1243,#N/A,3942,#N/A
1244,#N/A,4326,#N/A
1245,#N/A,3505,#N/A
1246,#N/A,3647,#N/A
1247,#N/A,3910,#N/A
1248,#N/A,3898,#N/A
1249,#N/A,4353,#N/A
1250,#N/A,3483,#N/A
1251,#N/A,3797,#N/A
1252,#N/A,3805,#N/A
1253,5130,#N/A,#N/A
1254,5016,#N/A,#N/A
1255,#N/A,#N/A,447
1256,#N/A,#N/A,24
1257,#N/A,3946,#N/A
1258,#N/A,4149,#N/A
1259,#N/A,3503,#N/A
1260,#N/A,4255,#N/A
1261,#N/A,575,#N/A
1262,#N/A,4641,#N/A
1263,#N/A,4172,#N/A
1264,#N/A,4251,#N/A
1265,#N/A,4116,#N/A
1266,#N/A,4304,#N/A
1267,#N/A,555,#N/A
1268,#N/A,3789,#N/A
1269,#N/A,3736,#N/A
1270,#N/A,3570,#N/A
1271,#N/A,4380,#N/A
1272,#N/A,3741,#N/A
1273,#N/A,3279,#N/A
1274,#N/A,3874,#N/A
1275,5139,#N/A,#N/A
1276,5040,#N/A,#N/A
1277,#N/A,#N/A,518
1278,#N/A,#N/A,152
1279,#N/A,2156,#N/A
1280,#N/A,3731,#N/A
1281,#N/A,4045,#N/A
1282,#N/A,3894,#N/A
1283,#N/A,4026,#N/A
1284,#N/A,364,#N/A
1285,#N/A,3908,#N/A
1286,#N/A,4007,#N/A
1287,#N/A,4741,#N/A
1288,#N/A,4218,#N/A
1289,#N/A,4005,#N/A
1290,#N/A,3725,#N/A
1291,#N/A,3903,#N/A
1292,#N/A,4140,#N/A
1293,#N/A,4266,#N/A
1294,#N/A,3838,#N/A
1295,#N/A,3424,#N/A
1296,#N/A,4322,#N/A
1297,5159,#N/A,#N/A
1298,4969,#N/A,#N/A
1299,#N/A,#N/A,228
1300,#N/A,#N/A,10
1301,#N/A,3876,#N/A
1302,#N/A,3897,#N/A
1303,#N/A,4461,#N/A
1304,#N/A,312,#N/A
1305,#N/A,3967,#N/A
1306,#N/A,4699,#N/A
1307,#N/A,3900,#N/A
1308,#N/A,4633,#N/A
1309,#N/A,3905,#N/A
1310,#N/A,3587,#N/A
1311,#N/A,2465,#N/A
1312,#N/A,4019,#N/A
1313,#N/A,4053,#N/A
1314,#N/A,3670,#N/A
1315,#N/A,3822,#N/A
1316,#N/A,3551,#N/A
1317,#N/A,3993,#N/A
1318,#N/A,4497,#N/A
1319,4981,#N/A,#N/A
1320,5019,#N/A,#N/A
1321,#N/A,#N/A,395
1322,#N/A,#N/A,214
1323,#N/A,1880,#N/A
1324,#N/A,432,#N/A
1325,#N/A,3745,#N/A
1326,#N/A,3719,#N/A
1327,#N/A,3673,#N/A
1328,#N/A,3325,#N/A
1329,#N/A,4143,#N/A
1330,#N/A,4385,#N/A
1331,#N/A,3745,#N/A
1332,#N/A,4428,#N/A
1333,#N/A,3617,#N/A
1334,#N/A,4053,#N/A
1335,#N/A,3479,#N/A
1336,#N/A,3782,#N/A
1337,#N/A,4035,#N/A
1338,#N/A,3591,#N/A
1339,#N/A,4653,#N/A
1340,#N/A,542,#N/A
1341,4611,#N/A,#N/A
1342,4811,#N/A,#N/A
1343,#N/A,#N/A,139
1344,#N/A,#N/A,323
1345,#N/A,3525,#N/A
1346,#N/A,4030,#N/A
1347,#N/A,3990,#N/A
1348,#N/A,4240,#N/A
1349,#N/A,3162,#N/A
1350,#N/A,4085,#N/A
1351,#N/A,3886,#N/A
1352,#N/A,4139,#N/A
1353,#N/A,374,#N/A
1354,#N/A,3608,#N/A
1355,#N/A,4424,#N/A
1356,#N/A,3678,#N/A
1357,#N/A,454,#N/A
1358,#N/A,4554,#N/A
1359,#N/A,3653,#N/A
1360,#N/A,4094,#N/A
1361,#N/A,3793,#N/A
1362,#N/A,4018,#N/A
1363,4917,#N/A,#N/A
1364,4893,#N/A,#N/A
1365,#N/A,#N/A,122
1366,#N/A,#N/A,0
1367,#N/A,4013,#N/A
1368,#N/A,3927,#N/A
1369,#N/A,3997,#N/A
1370,#N/A,4173,#N/A
1371,#N/A,431,#N/A
1372,#N/A,4037,#N/A
1373,#N/A,4567,#N/A
1374,#N/A,3590,#N/A
1375,#N/A,4203,#N/A
1376,#N/A,4069,#N/A
1377,#N/A,3822,#N/A
1378,#N/A,3607,#N/A
1379,#N/A,4374,#N/A
1380,#N/A,4138,#N/A
1381,#N/A,3911,#N/A
1382,#N/A,297,#N/A
1383,#N/A,3949,#N/A
1384,#N/A,4116,#N/A
1385,5089,#N/A,#N/A
1386,5098,#N/A,#N/A
1387,#N/A,328,#N/A
1388,#N/A,4601,#N/A
1389,#N/A,4238,#N/A
1390,#N/A,4410,#N/A
1391,#N/A,4256,#N/A
1392,#N/A,3747,#N/A
1393,#N/A,3524,#N/A
1394,#N/A,3474,#N/A
1395,#N/A,0,#N/A
1396,#N/A,0,#N/A
1397,#N/A,3484,#N/A
1398,#N/A,3510,#N/A
1399,#N/A,217,#N/A
1400,#N/A,0,#N/A
1401,#N/A,3739,#N/A
1402,#N/A,3815,#N/A
1403,#N/A,3854,#N/A
1404,#N/A,4361,#N/A
1405,4911,#N/A,#N/A
1406,5083,#N/A,#N/A
1407,#N/A,4382,#N/A
1408,#N/A,4027,#N/A
1409,#N/A,3958,#N/A
1410,#N/A,4026,#N/A
1411,#N/A,4489,#N/A
1412,#N/A,312,#N/A
1413,#N/A,407,#N/A
1414,#N/A,384,#N/A
1415,#N/A,3675,#N/A
1416,#N/A,3628,#N/A
1417,#N/A,4144,#N/A
1418,#N/A,847,#N/A
1419,#N/A,4277,#N/A
1420,#N/A,4110,#N/A
1421,#N/A,4489,#N/A
1422,#N/A,3665,#N/A
1423,#N/A,4147,#N/A
1424,#N/A,3959,#N/A
1425,4853,#N/A,#N/A
1426,4954,#N/A,#N/A
1427,#N/A,3854,#N/A
1428,#N/A,3902,#N/A
1429,#N/A,3752,#N/A
1430,#N/A,3700,#N/A
1431,#N/A,4099,#N/A
1432,#N/A,3558,#N/A
1433,#N/A,3934,#N/A
1434,#N/A,3862,#N/A
1435,#N/A,4316,#N/A
1436,#N/A,3915,#N/A
1437,#N/A,4247,#N/A
1438,#N/A,386,#N/A
1439,#N/A,4355,#N/A
1440,#N/A,220,#N/A
1441,#N/A,2938,#N/A
1442,#N/A,288,#N/A
1443,#N/A,3552,#N/A
1444,#N/A,4646,#N/A
1445,4897,#N/A,#N/A
1446,5040,#N/A,#N/A
1447,#N/A,4491,#N/A
1448,#N/A,3509,#N/A
1449,#N/A,3951,#N/A
1450,#N/A,3944,#N/A
1451,#N/A,4157,#N/A
1452,#N/A,3986,#N/A
1453,#N/A,4070,#N/A
1454,#N/A,3496,#N/A
1455,#N/A,4428,#N/A
1456,#N/A,3695,#N/A
1457,#N/A,4415,#N/A
1458,#N/A,3862,#N/A
1459,#N/A,4594,#N/A
1460,#N/A,3613,#N/A
1461,#N/A,4113,#N/A
1462,#N/A,4480,#N/A
1463,#N/A,4144,#N/A
1464,#N/A,3834,#N/A
